exacerbate,"make worse; "This drug aggravates the pain"","exasperate or irritate"
exaltations,"a state of being carried away by overwhelming emotion; "listening to sweet music in a perfect rapture"- Charles Dickens","the location of a planet in the zodiac at which it is believed to exert its maximum influence","a flock of larks (especially a flock of larks in flight overhead)","the elevation of a person (as to the status of a god)"
exalted,"of high moral or intellectual value; elevated in nature or style; "an exalted ideal"; "argue in terms of high-flown ideals"- Oliver Franks; "a noble and lofty concept"; "a grand purpose""
exalter
exalters
exalting,"tending to exalt; "an exalting eulogy"; "ennobling thoughts""
exalts,"praise, glorify, or honor; "extol the virtues of one's children"; "glorify one's spouse's cooking"","fill with sublime emotion; "The children were thrilled at the prospect of going to the movies"; "He was inebriated by his phenomenal success"","heighten or intensify; "These paintings exalt the imagination"","raise in rank, character, or status; "exalted the humble shoemaker to the rank of King's adviser""
exam,"a set of questions or exercises evaluating skill or knowledge; "when the test was stolen the professor had to make a new set of questions""
examen,"a detailed inspection of your conscience (as done daily by Jesuits)","a critical study (as of a writer's work)"
examens,"a detailed inspection of your conscience (as done daily by Jesuits)","a critical study (as of a writer's work)"
examination,"the act of examining something closely (as for mistakes)","a set of questions or exercises evaluating skill or knowledge; "when the test was stolen the professor had to make a new set of questions"","formal systematic questioning","a detailed inspection of your conscience (as done daily by Jesuits)","the act of giving students or candidates a test (as by questions) to determine what they know or have learned"
examinations,"the act of examining something closely (as for mistakes)","a set of questions or exercises evaluating skill or knowledge; "when the test was stolen the professor had to make a new set of questions"","formal systematic questioning","a detailed inspection of your conscience (as done daily by Jesuits)","the act of giving students or candidates a test (as by questions) to determine what they know or have learned"
examine,"consider in detail and subject to an analysis in order to discover essential features or meaning; "analyze a sonnet by Shakespeare"; "analyze the evidence in a criminal trial"; "analyze your real motives"","observe, check out, and look over carefully or inspect; "The customs agent examined the baggage"; "I must see your passport before you can enter the country"","question or examine thoroughly and closely","question closely","put to the test, as for its quality, or give experimental use to; "This approach has been tried with good results"; "Test this recipe""
examined
examinee,"someone who is tested (as by an intelligence test or an academic examination)"
examinees,"someone who is tested (as by an intelligence test or an academic examination)"
examiner,"someone who administers a test to determine your qualifications","an investigator who observes carefully; "the examiner searched for clues""
examiners,"someone who administers a test to determine your qualifications","an investigator who observes carefully; "the examiner searched for clues""
examines,"consider in detail and subject to an analysis in order to discover essential features or meaning; "analyze a sonnet by Shakespeare"; "analyze the evidence in a criminal trial"; "analyze your real motives"","observe, check out, and look over carefully or inspect; "The customs agent examined the baggage"; "I must see your passport before you can enter the country"","question or examine thoroughly and closely","question closely","put to the test, as for its quality, or give experimental use to; "This approach has been tried with good results"; "Test this recipe""
examining
example,"an item of information that is typical of a class or group; "this patient provides a typical example of the syndrome"; "there is an example on page 10"","a representative form or pattern; "I profited from his example"","something to be imitated; "an exemplar of success"; "a model of clarity"; "he is the very model of a modern major general"","punishment intended as a warning to others; "they decided to make an example of him"","an occurrence of something; "it was a case of bad judgment"; "another instance occurred yesterday"; "but there is always the famous example of the Smiths"","a task performed or problem solved in order to develop skill or understanding; "you must work the examples at the end of each chapter in the textbook""
exampled
examples,"an item of information that is typical of a class or group; "this patient provides a typical example of the syndrome"; "there is an example on page 10"","a representative form or pattern; "I profited from his example"","something to be imitated; "an exemplar of success"; "a model of clarity"; "he is the very model of a modern major general"","punishment intended as a warning to others; "they decided to make an example of him"","an occurrence of something; "it was a case of bad judgment"; "another instance occurred yesterday"; "but there is always the famous example of the Smiths"","a task performed or problem solved in order to develop skill or understanding; "you must work the examples at the end of each chapter in the textbook""
exampling
exams,"a set of questions or exercises evaluating skill or knowledge; "when the test was stolen the professor had to make a new set of questions""
exanthem,"eruption on the skin occurring as a symptom of a disease"
exanthems,"eruption on the skin occurring as a symptom of a disease"
exarch,"a bishop in one of several Eastern Orthodox Churches in North America","a bishop in eastern Christendom who holds a place below a patriarch but above a metropolitan","a viceroy who governed a large province in the Roman Empire"
exarchal
exarchies
exarchs,"a bishop in one of several Eastern Orthodox Churches in North America","a bishop in eastern Christendom who holds a place below a patriarch but above a metropolitan","a viceroy who governed a large province in the Roman Empire"
exarchy
exasperate,"exasperate or irritate","make furious","make worse; "This drug aggravates the pain""
exasperated,"greatly annoyed; out of patience; "had an exasperated look on his face"; "felt exasperated beyond endurance""
exasperates,"exasperate or irritate","make furious","make worse; "This drug aggravates the pain""
exasperating,"extremely annoying or displeasing; "his cavelier curtness of manner was exasperating"; "I've had an exasperating day"; "her infuriating indifference"; "the ceaseless tumult of the jukebox was maddening"","making worse"
exasperation,"an exasperated feeling of annoyance","actions that cause great irritation (or even anger)"
exasperations,"an exasperated feeling of annoyance","actions that cause great irritation (or even anger)"
excavate,"recover through digging; "Schliemann excavated Troy"; "excavate gold"","find by digging in the ground; "I dug up an old box in the garden"","form by hollowing; "Carnegie had a lake excavated for Princeton University's rowing team"; "excavate a cavity"","remove the inner part or the core of; "the mining company wants to excavate the hillside""
excavated
excavates,"recover through digging; "Schliemann excavated Troy"; "excavate gold"","find by digging in the ground; "I dug up an old box in the garden"","form by hollowing; "Carnegie had a lake excavated for Princeton University's rowing team"; "excavate a cavity"","remove the inner part or the core of; "the mining company wants to excavate the hillside""
excavating
excavation,"the act of digging; "there's an interesting excavation going on near Princeton"","the site of an archeological exploration; "they set up camp next to the dig"","a hole in the ground made by excavating","the act of extracting ores or coal etc from the earth"
excavations,"the act of digging; "there's an interesting excavation going on near Princeton"","the site of an archeological exploration; "they set up camp next to the dig"","a hole in the ground made by excavating","the act of extracting ores or coal etc from the earth"
excavator,"a workman who excavates for foundations of buildings or for quarrying","a machine for excavating"
excavators,"a workman who excavates for foundations of buildings or for quarrying","a machine for excavating"
exceed,"be greater in scope or size than some standard; "Their loyalty exceeds their national bonds"","be superior or better than some standard; "She exceeded our expectations"; "She topped her performance of last year"","be or do something to a greater degree; "her performance surpasses that of any other student I know"; "She outdoes all other athletes"; "This exceeds all my expectations"; "This car outperforms all others in its class""
exceeded
exceeder
exceeders
exceeding,"far beyond what is usual in magnitude or degree; "a night of exceeding darkness"; "an exceptional memory"; "olympian efforts to save the city from bankruptcy"; "the young Mozart's prodigious talents""
exceedingly,"to an extreme degree; "extremely cold"; "extremely unpleasant""
exceeds,"be greater in scope or size than some standard; "Their loyalty exceeds their national bonds"","be superior or better than some standard; "She exceeded our expectations"; "She topped her performance of last year"","be or do something to a greater degree; "her performance surpasses that of any other student I know"; "She outdoes all other athletes"; "This exceeds all my expectations"; "This car outperforms all others in its class""
excel,"distinguish oneself; "She excelled in math""
excelled,"distinguish oneself; "She excelled in math""
excellence,"the quality of excelling; possessing good qualities in high degree","an outstanding feature; something in which something or someone excels; "a center of manufacturing excellence"; "the use of herbs is one of the excellencies of French cuisine""
excellences,"the quality of excelling; possessing good qualities in high degree","an outstanding feature; something in which something or someone excels; "a center of manufacturing excellence"; "the use of herbs is one of the excellencies of French cuisine""
excellency,"a title used to address dignitaries (such as ambassadors or governors); usually preceded by `Your' or `His' or `Her'; "Your Excellency"","an outstanding feature; something in which something or someone excels; "a center of manufacturing excellence"; "the use of herbs is one of the excellencies of French cuisine""
excellent,"very good;of the highest quality; "made an excellent speech"; "the school has excellent teachers"; "a first-class mind""
excellently,"extremely well; "he did splendidly in the exam"; "we got along famously""
excelling,"distinguish oneself; "She excelled in math""
excels,"distinguish oneself; "She excelled in math""
except,"take exception to; "he demurred at my suggestion to work on Saturday"","prevent from being included or considered or accepted; "The bad results were excluded from the report"; "Leave off the top piece""
excepted
excepting
exception,"a deliberate act of omission; "with the exception of the children, everyone was told the news"","an instance that does not conform to a rule or generalization; "all her children were brilliant; the only exception was her last child"; "an exception tests the rule"","grounds for adverse criticism; "his authority is beyond exception""
exceptional,"far beyond what is usual in magnitude or degree; "a night of exceeding darkness"; "an exceptional memory"; "olympian efforts to save the city from bankruptcy"; "the young Mozart's prodigious talents"","surpassing what is common or usual or expected; "he paid especial attention to her"; "exceptional kindness"; "a matter of particular and unusual importance"; "a special occasion"; "a special reason to confide in her"; "what's so special about the year 2000?"","deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence; "special educational provisions for exceptional children""
exceptionalally
exceptions,"a deliberate act of omission; "with the exception of the children, everyone was told the news"","an instance that does not conform to a rule or generalization; "all her children were brilliant; the only exception was her last child"; "an exception tests the rule"","grounds for adverse criticism; "his authority is beyond exception""
excepts,"take exception to; "he demurred at my suggestion to work on Saturday"","prevent from being included or considered or accepted; "The bad results were excluded from the report"; "Leave off the top piece""
excerpt,"a passage selected from a larger work; "he presented excerpts from William James' philosophical writings"","take out of a literary work in order to cite or copy"
excerpted
excerpting
excerpts,"a passage selected from a larger work; "he presented excerpts from William James' philosophical writings"","take out of a literary work in order to cite or copy"
excess,"a quantity much larger than is needed","immoderation as a consequence of going beyond sufficient or permitted limits","the state of being more than full","excessive indulgence; "the child was spoiled by overindulgence"","more than is needed, desired, or required; "trying to lose excess weight"; "found some extra change lying on the dresser"; "yet another book on heraldry might be thought redundant"; "skills made redundant by technological advance"; "sleeping in the spare room"; "supernumerary ornamentation"; "it was supererogatory of her to gloat"; "delete superfluous (or unnecessary) words"; "extra ribs as well as other supernumerary internal parts"; "surplus cheese distributed to the needy""
excesses
excessive,"beyond normal limits; "excessive charges"; "a book of inordinate length"; "his dress stops just short of undue elegance"; "unreasonable demands"","unrestrained, especially with regard to feelings; "extravagant praise"; "exuberant compliments"; "overweening ambition"; "overweening greed""
excessively,"to a degree exceeding normal or proper limits; "too big""
exchange,"chemical process in which one atom or ion or group changes places with another","a mutual expression of views (especially an unpleasant one); "they had a bitter exchange"","the act of changing one thing for another thing; "Adam was promised immortality in exchange for his disobedience"; "there was an interchange of prisoners"","the act of giving something in return for something received; "deductible losses on sales or exchanges of property are allowable"","a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication","a workplace for buying and selling; open only to members","(sports) an unbroken sequence of several successive strokes; "after a short rally Connors won the point"","reciprocal transfer of equivalent sums of money (especially the currencies of different countries); "he earns his living from the interchange of currency"","the act of putting one thing or person in the place of another: "he sent Smith in for Jones but the substitution came too late to help"","(chess) gaining (or losing) a rook in return for a knight or bishop; "black lost the exchange"","(chess) the capture by both players (usually on consecutive moves) of pieces of equal value; "the endgame began after the exchange of queens"","give to, and receive from, one another; "Would you change places with me?"; "We have been exchanging letters for a year"","exchange or replace with another, usually of the same kind or category; "Could you convert my dollars into pounds?"; "He changed his name"; "convert centimeters into inches"; "convert holdings into shares"","change over, change around, as to a new order or sequence","hand over one and receive another, approximately equivalent; "exchange prisoners"; "exchange employees between branches of the company"","put in the place of another; switch seemingly equivalent items; "the con artist replaced the original with a fake Rembrandt"; "substitute regular milk with fat-free milk"; "synonyms can be interchanged without a changing the context's meaning"","exchange a penalty for a less severe one"
exchangeable,"suitable to be exchanged","capable of being exchanged for or replaced by something of equal value; "convertible securities"","capable of replacing or changing places with something else; permitting mutual substitution without loss of function or suitability; "interchangeable electric outlets" "interchangeable parts""
exchanged,"changed for (replaced by) something different"
exchanges,"chemical process in which one atom or ion or group changes places with another","a mutual expression of views (especially an unpleasant one); "they had a bitter exchange"","the act of changing one thing for another thing; "Adam was promised immortality in exchange for his disobedience"; "there was an interchange of prisoners"","the act of giving something in return for something received; "deductible losses on sales or exchanges of property are allowable"","a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication","a workplace for buying and selling; open only to members","(sports) an unbroken sequence of several successive strokes; "after a short rally Connors won the point"","reciprocal transfer of equivalent sums of money (especially the currencies of different countries); "he earns his living from the interchange of currency"","the act of putting one thing or person in the place of another: "he sent Smith in for Jones but the substitution came too late to help"","(chess) gaining (or losing) a rook in return for a knight or bishop; "black lost the exchange"","(chess) the capture by both players (usually on consecutive moves) of pieces of equal value; "the endgame began after the exchange of queens"","give to, and receive from, one another; "Would you change places with me?"; "We have been exchanging letters for a year"","exchange or replace with another, usually of the same kind or category; "Could you convert my dollars into pounds?"; "He changed his name"; "convert centimeters into inches"; "convert holdings into shares"","change over, change around, as to a new order or sequence","hand over one and receive another, approximately equivalent; "exchange prisoners"; "exchange employees between branches of the company"","put in the place of another; switch seemingly equivalent items; "the con artist replaced the original with a fake Rembrandt"; "substitute regular milk with fat-free milk"; "synonyms can be interchanged without a changing the context's meaning"","exchange a penalty for a less severe one"
exchanging
excide
excided
excides
exciding
exciple
exciples
excise,"a tax that is measured by the amount of business done (not on property or income from real estate)","remove by erasing or crossing out or as if by drawing a line; "Please strike this remark from the record"; "scratch that remark"","levy an excise tax on","remove by cutting; "The surgeon excised the tumor""
excised
excises,"a tax that is measured by the amount of business done (not on property or income from real estate)","remove by erasing or crossing out or as if by drawing a line; "Please strike this remark from the record"; "scratch that remark"","levy an excise tax on","remove by cutting; "The surgeon excised the tumor""
excising
excision,"the omission that is made when an editorial change shortens a written passage; "an editor's deletions frequently upset young authors"; "both parties agreed on the excision of the proposed clause"","surgical removal of a body part or tissue","the act of banishing a member of a church from the communion of believers and the privileges of the church; cutting a person off from a religious society","the act of pulling up or out; uprooting; cutting off from existence"
excisions,"the omission that is made when an editorial change shortens a written passage; "an editor's deletions frequently upset young authors"; "both parties agreed on the excision of the proposed clause"","surgical removal of a body part or tissue","the act of banishing a member of a church from the communion of believers and the privileges of the church; cutting a person off from a religious society","the act of pulling up or out; uprooting; cutting off from existence"
excitabilities
excitability,"excessive sensitivity of an organ or body part","being easily excited"
excitant,"a drug that temporarily quickens some vital process","(of drugs e.g.) able to excite or stimulate"
excitants,"a drug that temporarily quickens some vital process","(of drugs e.g.) able to excite or stimulate"
excitation,"the state of being emotionally aroused and worked up; "his face was flushed with excitement and his hands trembled"; "he tried to calm those who were in a state of extreme inflammation"","the neural or electrical arousal of an organ or muscle or gland","something that agitates and arouses; "he looked forward to the excitements of the day""
excitations,"the state of being emotionally aroused and worked up; "his face was flushed with excitement and his hands trembled"; "he tried to calm those who were in a state of extreme inflammation"","the neural or electrical arousal of an organ or muscle or gland","something that agitates and arouses; "he looked forward to the excitements of the day""
excite,"arouse or elicit a feeling","act as a stimulant; "The book stimulated her imagination"; "This play stimulates"","stir feelings in; "stimulate my appetite"; "excite the audience"; "stir emotions"","cause to be agitated, excited, or roused; "The speaker charged up the crowd with his inflammatory remarks"","stimulate sexually; "This movie usually arouses the male audience"","stir the feelings, emotions, or peace of; "These stories shook the community"; "the civil war shook the country"","raise to a higher energy level; "excite the atoms"","produce a magnetic field in; "excite the neurons""
excited,"(of persons) excessively affected by emotion; "he would become emotional over nothing at all"; "she was worked up about all the noise"","in an aroused state","marked by uncontrolled excitement or emotion; "a crowd of delirious baseball fans"; "something frantic in their gaiety"; "a mad whirl of pleasure"","(of e.g. a molecule) made reactive or more reactive"
excitedly,"with excitement; in an excited manner; "she shook his hand excitedly""
excitement,"the feeling of lively and cheerful joy; "he could hardly conceal his excitement when she agreed"","the state of being emotionally aroused and worked up; "his face was flushed with excitement and his hands trembled"; "he tried to calm those who were in a state of extreme inflammation"","something that agitates and arouses; "he looked forward to the excitements of the day"","disturbance usually in protest"
excitements,"the feeling of lively and cheerful joy; "he could hardly conceal his excitement when she agreed"","the state of being emotionally aroused and worked up; "his face was flushed with excitement and his hands trembled"; "he tried to calm those who were in a state of extreme inflammation"","something that agitates and arouses; "he looked forward to the excitements of the day"","disturbance usually in protest"
exciter
exciters
excites,"arouse or elicit a feeling","act as a stimulant; "The book stimulated her imagination"; "This play stimulates"","stir feelings in; "stimulate my appetite"; "excite the audience"; "stir emotions"","cause to be agitated, excited, or roused; "The speaker charged up the crowd with his inflammatory remarks"","stimulate sexually; "This movie usually arouses the male audience"","stir the feelings, emotions, or peace of; "These stories shook the community"; "the civil war shook the country"","raise to a higher energy level; "excite the atoms"","produce a magnetic field in; "excite the neurons""
exciting,"creating or arousing excitement; "an exciting account of her trip"","stimulating interest and discussion; "an exciting novel""
exciton
excitons
excitor
excitors
exclaim,"utter aloud; often with surprise, horror, or joy; "`I won!' he exclaimed"; "`Help!' she cried"; "`I'm here,' the mother shouted when she saw her child looking lost"","state or announce; "`I am not a Communist,' he exclaimed"; "The King will proclaim an amnesty""
exclaimed
exclaiming,"an abrupt excited utterance; "she gave an exclamation of delight"; "there was much exclaiming over it""
exclaims,"utter aloud; often with surprise, horror, or joy; "`I won!' he exclaimed"; "`Help!' she cried"; "`I'm here,' the mother shouted when she saw her child looking lost"","state or announce; "`I am not a Communist,' he exclaimed"; "The King will proclaim an amnesty""
exclamation,"an abrupt excited utterance; "she gave an exclamation of delight"; "there was much exclaiming over it"","a loud complaint or protest or reproach","an exclamatory rhetorical device; "O tempore! O mores""
exclamations,"an abrupt excited utterance; "she gave an exclamation of delight"; "there was much exclaiming over it"","a loud complaint or protest or reproach","an exclamatory rhetorical device; "O tempore! O mores""
exclamatory,"sudden and strong; "an emphatic no""
exclave
exclaves
exclude,"prevent from being included or considered or accepted; "The bad results were excluded from the report"; "Leave off the top piece"","prevent from entering; shut out; "The trees were shutting out all sunlight"; "This policy excludes people who have a criminal record from entering the country"","lack or fail to include; "The cost for the trip excludes food and beverages"","prevent from entering; keep out; "He was barred from membership in the club"","put out or expel from a place; "The unruly student was excluded from the game""
excluded
excluder
excluders
excludes,"prevent from being included or considered or accepted; "The bad results were excluded from the report"; "Leave off the top piece"","prevent from entering; shut out; "The trees were shutting out all sunlight"; "This policy excludes people who have a criminal record from entering the country"","lack or fail to include; "The cost for the trip excludes food and beverages"","prevent from entering; keep out; "He was barred from membership in the club"","put out or expel from a place; "The unruly student was excluded from the game""
excluding
exclusion,"the state of being excluded","the state of being excommunicated","a deliberate act of omission; "with the exception of the children, everyone was told the news"","the act of forcing out someone or something; "the ejection of troublemakers by the police"; "the child's expulsion from school""
exclusions,"the state of being excluded","the state of being excommunicated","a deliberate act of omission; "with the exception of the children, everyone was told the news"","the act of forcing out someone or something; "the ejection of troublemakers by the police"; "the child's expulsion from school""
exclusive,"a news report that is reported first by one news organization; "he got a scoop on the bribery of city officials"","not divided or shared with others; "they have exclusive use of the machine"; "sole rights of publication"","excluding much or all; especially all but a particular group or minority; "exclusive clubs"; "an exclusive restaurants and shops"","not divided among or brought to bear on more than one object or objective; "judging a contest with a single eye"; "a single devotion to duty"; "undivided affection"; "gained their exclusive attention""
exclusively,"without any others being included or involved; "was entirely to blame"; "a school devoted entirely to the needs of problem children"; "he works for Mr. Smith exclusively"; "did it solely for money"; "the burden of proof rests on the prosecution alone"; "a privilege granted only to him""
exclusiveness,"tendency to associate with only a select group"
exclusivenesses
excommunicate,"exclude from a church or a religious community; "The gay priest was excommunicated when he married his partner"","oust or exclude from a group or membership by decree"
excommunicated
excommunicates,"exclude from a church or a religious community; "The gay priest was excommunicated when he married his partner"","oust or exclude from a group or membership by decree"
excommunicating
excommunication,"the state of being excommunicated","the act of banishing a member of a church from the communion of believers and the privileges of the church; cutting a person off from a religious society"
excommunications,"the state of being excommunicated","the act of banishing a member of a church from the communion of believers and the privileges of the church; cutting a person off from a religious society"
excrement,"waste matter (as urine or sweat but especially feces) discharged from the body"
excremental
excrements,"waste matter (as urine or sweat but especially feces) discharged from the body"
excreta,"waste matter (as urine or sweat but especially feces) discharged from the body"
excretal
excrete,"eliminate from the body; "Pass a kidney stone""
excreted
excreter
excreters
excretes,"eliminate from the body; "Pass a kidney stone""
excreting,"the bodily process of discharging waste matter"
excretion,"the bodily process of discharging waste matter","waste matter (as urine or sweat but especially feces) discharged from the body"
excretions,"the bodily process of discharging waste matter","waste matter (as urine or sweat but especially feces) discharged from the body"
excretory,"of or relating to the process of excretion"
excruciating,"extremely painful"
excruciatingly,"in a very painful manner; "the progress was agonizingly slow""
exculpate,"pronounce not guilty of criminal charges; "The suspect was cleared of the murder charges""
exculpated,"freed from any question of guilt; "is absolved from all blame"; "was now clear of the charge of cowardice"; "his official honor is vindicated""
exculpates,"pronounce not guilty of criminal charges; "The suspect was cleared of the murder charges""
exculpating
excursion,"a journey taken for pleasure; "many summer excursions to the shore"; "it was merely a pleasure trip"; "after cautious sashays into the field"","wandering from the main path of a journey"
excursions,"a journey taken for pleasure; "many summer excursions to the shore"; "it was merely a pleasure trip"; "after cautious sashays into the field"","wandering from the main path of a journey"
excuse,"a defense of some offensive behavior or some failure to keep a promise etc.; "he kept finding excuses to stay"; "every day he had a new alibi for not getting a job"; "his transparent self-justification was unacceptable"","a note explaining an absence; "he had to get his mother to write an excuse for him"","a poor example; "it was an apology for a meal"; "a poor excuse for an automobile"","accept an excuse for; "Please excuse my dirty hands"","grant exemption or release to; "Please excuse me from this class"","serve as a reason or cause or justification of; "Your need to sleep late does not excuse your late arrival at work"; "Her recent divorce may explain her reluctance to date again"","defend, explain, clear away, or make excuses for by reasoning; "rationalize the child's seemingly crazy behavior"; "he rationalized his lack of success"","ask for permission to be released from an engagement","excuse, overlook, or make allowances for; be lenient with; "excuse someone's behavior"; "She condoned her husband's occasional infidelities""
excused,"granted exemption; "one of the excused jurors planned to write a book""
excuser,"a person who pardons or forgives or excuses a fault or offense"
excusers,"a person who pardons or forgives or excuses a fault or offense"
excuses,"a defense of some offensive behavior or some failure to keep a promise etc.; "he kept finding excuses to stay"; "every day he had a new alibi for not getting a job"; "his transparent self-justification was unacceptable"","a note explaining an absence; "he had to get his mother to write an excuse for him"","a poor example; "it was an apology for a meal"; "a poor excuse for an automobile"","accept an excuse for; "Please excuse my dirty hands"","grant exemption or release to; "Please excuse me from this class"","serve as a reason or cause or justification of; "Your need to sleep late does not excuse your late arrival at work"; "Her recent divorce may explain her reluctance to date again"","defend, explain, clear away, or make excuses for by reasoning; "rationalize the child's seemingly crazy behavior"; "he rationalized his lack of success"","ask for permission to be released from an engagement","excuse, overlook, or make allowances for; be lenient with; "excuse someone's behavior"; "She condoned her husband's occasional infidelities""
excusing
exeat
exec,"the chief executive department of the United States government"
execrate,"find repugnant; "I loathe that man"; "She abhors cats"","curse or declare to be evil or anathema or threaten with divine punishment"
execrated
execrates,"find repugnant; "I loathe that man"; "She abhors cats"","curse or declare to be evil or anathema or threaten with divine punishment"
execrating
execs,"the chief executive department of the United States government"
executable,"capable of being done with means at hand and circumstances as they are"
execute,"kill as a means of socially sanctioned punishment; "In some states, criminals are executed"","murder in a planned fashion; "The Mafioso who collaborated with the police was executed"","put in effect; "carry out a task"; "execute the decision of the people"; "He actioned the operation"","carry out the legalities of; "execute a will or a deed"","carry out a process or program, as on a computer or a machine; "Run the dishwasher"; "run a new program on the Mac"; "the computer executed the instruction"","carry out or perform an action; "John did the painting, the weeding, and he cleaned out the gutters"; "the skater executed a triple pirouette"; "she did a little dance"","sign in the presence of witnesses; "The President executed the treaty""
executed,"put to death as punishment; "claimed the body of the executed traitor""
executer
executers
executes,"kill as a means of socially sanctioned punishment; "In some states, criminals are executed"","murder in a planned fashion; "The Mafioso who collaborated with the police was executed"","put in effect; "carry out a task"; "execute the decision of the people"; "He actioned the operation"","carry out the legalities of; "execute a will or a deed"","carry out a process or program, as on a computer or a machine; "Run the dishwasher"; "run a new program on the Mac"; "the computer executed the instruction"","carry out or perform an action; "John did the painting, the weeding, and he cleaned out the gutters"; "the skater executed a triple pirouette"; "she did a little dance"","sign in the presence of witnesses; "The President executed the treaty""
executing,"putting a condemned person to death"
execution,"putting a condemned person to death","the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it; "they criticised his performance as mayor"; "experience generally improves performance"","(computer science) the process of carrying out an instruction by a computer","(law) the completion of a legal instrument (such as a contract or deed) by signing it (and perhaps sealing and delivering it) so that it becomes legally binding and enforceable","a routine court order that attempts to enforce the judgment that has been granted to a plaintiff by authorizing a sheriff to carry it out","the act of accomplishing some aim or executing some order; "the agency was created for the implementation of the policy"","unlawful premeditated killing of a human being by a human being"
executioner,"an official who inflicts capital punishment in pursuit of a warrant"
executioners,"an official who inflicts capital punishment in pursuit of a warrant"
executions,"putting a condemned person to death","the act of performing; of doing something successfully; using knowledge as distinguished from merely possessing it; "they criticised his performance as mayor"; "experience generally improves performance"","(computer science) the process of carrying out an instruction by a computer","(law) the completion of a legal instrument (such as a contract or deed) by signing it (and perhaps sealing and delivering it) so that it becomes legally binding and enforceable","a routine court order that attempts to enforce the judgment that has been granted to a plaintiff by authorizing a sheriff to carry it out","the act of accomplishing some aim or executing some order; "the agency was created for the implementation of the policy"","unlawful premeditated killing of a human being by a human being"
executive,"a person responsible for the administration of a business","persons who administer the law","someone who manages a government agency or department","having the function of carrying out plans or orders etc.; "the executive branch""
executives,"a person responsible for the administration of a business","persons who administer the law","someone who manages a government agency or department","having the function of carrying out plans or orders etc.; "the executive branch""
