diabase
diamond,"a transparent piece of diamond that has been cut and polished and is valued as a precious gem","very hard native crystalline carbon valued as a gem","a parallelogram with four equal sides; an oblique-angled equilateral parallelogram","a playing card in the minor suit that has one or more red rhombuses on it; "he led a small diamond"; "diamonds were trumps"","the area of a baseball field that is enclosed by 3 bases and home plate","the baseball playing field"
diamonded
diamonding
diamonds,"a transparent piece of diamond that has been cut and polished and is valued as a precious gem","very hard native crystalline carbon valued as a gem","a parallelogram with four equal sides; an oblique-angled equilateral parallelogram","a playing card in the minor suit that has one or more red rhombuses on it; "he led a small diamond"; "diamonds were trumps"","the area of a baseball field that is enclosed by 3 bases and home plate","the baseball playing field"
dianthus,"carnations and pinks"
dianthuses
diapason,"either of the two main stops on a pipe organ"
diapasons,"either of the two main stops on a pipe organ"
diapause
diapaused
diapauses
diapausing
diaper,"garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement","a fabric (usually cotton or linen) with a distinctive woven pattern of small repeated figures"
diapered
diapering
diapers,"garment consisting of a folded cloth drawn up between the legs and fastened at the waist; worn by infants to catch excrement","a fabric (usually cotton or linen) with a distinctive woven pattern of small repeated figures"
diaphone,"a foghorn that makes a signal consisting of two tones"
diaphones,"a foghorn that makes a signal consisting of two tones"
diaphonies
diaphony
diaphragm,"a mechanical device in a camera that controls size of aperture of the lens; "the new cameras adjust the diaphragm automatically"","(anatomy) a muscular partition separating the abdominal and thoracic cavities; functions in respiration","a contraceptive device consisting of a flexible dome-shaped cup made of rubber or plastic; it is filled with spermicide and fitted over the uterine cervix","electro-acoustic transducer that vibrates to receive or produce sound waves"
diaphragmatic
diaphragms,"a mechanical device in a camera that controls size of aperture of the lens; "the new cameras adjust the diaphragm automatically"","(anatomy) a muscular partition separating the abdominal and thoracic cavities; functions in respiration","a contraceptive device consisting of a flexible dome-shaped cup made of rubber or plastic; it is filled with spermicide and fitted over the uterine cervix","electro-acoustic transducer that vibrates to receive or produce sound waves"
diapir,"a domed rock formation where a core of rock has moved upward and pierced through the more brittle overlying strata"
diapiric
diapirs,"a domed rock formation where a core of rock has moved upward and pierced through the more brittle overlying strata"
diapsid,"reptile having a pair of openings in the skull behind each eye"
diarchic
diarchies
diarchy,"a form of government having two joint rulers"
diaries
diarist,"someone who keeps a diary or journal"
diarists,"someone who keeps a diary or journal"
diarrhea,"frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor"
diarrheas,"frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor"
diarrhoea,"frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor"
diarrhoeas,"frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor"
diary,"a daily written record of (usually personal) experiences and observations","a personal journal (as a physical object)"
diaspora,"the body of Jews (or Jewish communities) outside Palestine or modern Israel","the dispersion of the Jews outside Israel; from the destruction of the temple in Jerusalem in 587-86 BC when they were exiled to Babylonia up to the present time","the dispersion or spreading of something that was originally localized (as a people or language or culture)"
diasporas,"the body of Jews (or Jewish communities) outside Palestine or modern Israel","the dispersion of the Jews outside Israel; from the destruction of the temple in Jerusalem in 587-86 BC when they were exiled to Babylonia up to the present time","the dispersion or spreading of something that was originally localized (as a people or language or culture)"
diaspore
diaspores
diastase
diastases,"separation of an epiphysis from the long bone to which it is normally attached without fracture of the bone"
diastema,"a gap or vacant space between two teeth"
diastemata,"a gap or vacant space between two teeth"
diaster
diasters
diastole,"the widening of the chambers of the heart between two contractions when the chambers fill with blood"
diastoles,"the widening of the chambers of the heart between two contractions when the chambers fill with blood"
diastral
diatom,"microscopic unicellular marine or freshwater colonial alga having cell walls impregnated with silica"
diatomic,"of or relating to a molecule made up of two atoms; "a diatomic molecule""
diatoms,"microscopic unicellular marine or freshwater colonial alga having cell walls impregnated with silica"
diatonic,"based on the standard major or minor scales consisting of 5 tones and 2 semitones without modulation by accidentals","based on or using the five tones and two semitones of the major or minor scales of western music"
diatribe,"thunderous verbal attack"
diatribes,"thunderous verbal attack"
diazepam,"a tranquilizer (trade name Valium) used to relieve anxiety and relax muscles; acts by enhancing the inhibitory actions of the neurotransmitter GABA; can also be used as an anticonvulsant drug in cases of nerve agent poisoning"
diazepams,"a tranquilizer (trade name Valium) used to relieve anxiety and relax muscles; acts by enhancing the inhibitory actions of the neurotransmitter GABA; can also be used as an anticonvulsant drug in cases of nerve agent poisoning"
diazin
diazine
diazines
diazins
diazo,"relating to or containing diazonium"
diazole
diazoles
dib
dibasic
dibbed
dibber,"a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs"
dibbers,"a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs"
dibbing
dibble,"a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs","plant with a wooden hand tool; "dibble Spring bulbs"","make a hole with a wooden hand tool; "dibble the ground""
dibbled
dibbler
dibblers
dibbles,"a wooden hand tool with a pointed end; used to make holes in the ground for planting seeds or bulbs","plant with a wooden hand tool; "dibble Spring bulbs"","make a hole with a wooden hand tool; "dibble the ground""
dibbling
dibbuk,"(Jewish folklore) a demon that enters the body of a living person and controls that body's behavior"
dibbukim
dibbuks,"(Jewish folklore) a demon that enters the body of a living person and controls that body's behavior"
dibs,"a claim of rights; "I have dibs on that last slice of pizza""
dicast
dicastic
dicasts
dice,"a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers","cut into cubes; "cube the cheese"","play dice"
diced
dicentra,"North American and Asian herbs with divided leaves and irregular flowers"
dicentras,"North American and Asian herbs with divided leaves and irregular flowers"
dicer,"a mechanical device used for dicing food"
dicers,"a mechanical device used for dicing food"
dices,"a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers","cut into cubes; "cube the cheese"","play dice"
dicey,"of uncertain outcome; especially fraught with risk; "an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog"- New Yorker"
dichasia
dichotic
dichroic
dicier,"of uncertain outcome; especially fraught with risk; "an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog"- New Yorker"
diciest,"of uncertain outcome; especially fraught with risk; "an extremely dicey future on a brave new world of liquid nitrogen, tar, and smog"- New Yorker"
dicing
dick,"someone who is a detective","obscene terms for penis"
dickens,"a word used in exclamations of confusion; "what the devil"; "the deuce with it"; "the dickens you say"","English writer whose novels depicted and criticized social injustice (1812-1870)"
dickenses
dicker,"negotiate the terms of an exchange; "We bargained for a beautiful rug in the bazaar""
dickered
dickering
dickers,"negotiate the terms of an exchange; "We bargained for a beautiful rug in the bazaar""
dickey,"a small third seat in the back of an old-fashioned two-seater","a man's detachable insert (usually starched) to simulate the front of a shirt","(British informal) faulty; "I've got this dicky heart"- John le Carre"
dickeys,"a small third seat in the back of an old-fashioned two-seater","a man's detachable insert (usually starched) to simulate the front of a shirt","(British informal) faulty; "I've got this dicky heart"- John le Carre"
dickie,"a small third seat in the back of an old-fashioned two-seater","a man's detachable insert (usually starched) to simulate the front of a shirt"
dickies,"a small third seat in the back of an old-fashioned two-seater","a man's detachable insert (usually starched) to simulate the front of a shirt"
dicks,"someone who is a detective","obscene terms for penis"
dicky,"a small third seat in the back of an old-fashioned two-seater","a man's detachable insert (usually starched) to simulate the front of a shirt","(British informal) faulty; "I've got this dicky heart"- John le Carre"
diclinies
dicliny
dicot,"flowering plant with two cotyledons; the stem grows by deposit on its outside"
dicots,"flowering plant with two cotyledons; the stem grows by deposit on its outside"
dicotyl
dicotyls
dicrotal
dicrotic
dicta,"an authoritative declaration","an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding"
dictate,"an authoritative rule","a guiding principle; "the dictates of reason"","issue commands or orders for","say out loud for the purpose of recording; "He dictated a report to his secretary"","rule as a dictator"
dictated,"determined or decided upon as by an authority; "date and place are already determined"; "the dictated terms of surrender"; "the time set for the launching""
dictates,"an authoritative rule","a guiding principle; "the dictates of reason"","issue commands or orders for","say out loud for the purpose of recording; "He dictated a report to his secretary"","rule as a dictator"
dictating
dictation,"an authoritative direction or instruction to do something","speech intended for reproduction in writing","matter that has been dictated and transcribed; a dictated passage; "he signed and mailed his dictation without bothering to read it""
dictations,"an authoritative direction or instruction to do something","speech intended for reproduction in writing","matter that has been dictated and transcribed; a dictated passage; "he signed and mailed his dictation without bothering to read it""
dictator,"a speaker who dictates to a secretary or a recording machine","a ruler who is unconstrained by law","a person who behaves in a tyrannical manner; "my boss is a dictator who makes everyone work overtime""
dictatorial,"of or characteristic of a dictator; "dictatorial powers"","expecting unquestioning obedience; "the timid child of authoritarian parents"; "insufferably overbearing behavior toward the waiter"","characteristic of an absolute ruler or absolute rule; having absolute sovereignty; "an authoritarian regime"; "autocratic government"; "despotic rulers"; "a dictatorial rule that lasted for the duration of the war"; "a tyrannical government""
dictators,"a speaker who dictates to a secretary or a recording machine","a ruler who is unconstrained by law","a person who behaves in a tyrannical manner; "my boss is a dictator who makes everyone work overtime""
dictatorship,"a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)"
dictatorships,"a form of government in which the ruler is an absolute dictator (not restricted by a constitution or laws or opposition etc.)"
diction,"the articulation of speech regarded from the point of view of its intelligibility to the audience","the manner in which something is expressed in words; "use concise military verbiage"- G.S.Patton"
dictionaries
dictionary,"a reference book containing an alphabetical list of words with information about them"
dictions,"the articulation of speech regarded from the point of view of its intelligibility to the audience","the manner in which something is expressed in words; "use concise military verbiage"- G.S.Patton"
dictum,"an authoritative declaration","an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding"
dictums,"an authoritative declaration","an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding"
dicyclic
dicyclies
dicycly
did,"engage in; "make love, not war"; "make an effort"; "do research"; "do nothing"; "make revolution"","carry out or perform an action; "John did the painting, the weeding, and he cleaned out the gutters"; "the skater executed a triple pirouette"; "she did a little dance"","get (something) done; "I did my job"","proceed or get along; "How is she doing in her new job?"; "How are you making out in graduate school?"; "He's come a long way"","give rise to; cause to happen or occur, not always intentionally; "cause a commotion"; "make a stir"; "cause an accident"","carry out or practice; as of jobs and professions; "practice law"","be sufficient; be adequate, either in quality or quantity; "A few words would answer"; "This car suits my purpose well"; "Will $100 do?"; "A 'B' grade doesn't suffice to get me into medical school"; "Nothing else will serve"","create or design, often in a certain way; "Do my room in blue"; "I did this piece in wood to express my love for the forest"","behave in a certain manner; show a certain behavior; conduct or comport oneself; "You should act like an adult"; "Don't behave like a fool"; "What makes her do this way?"; "The dog acts ferocious, but he is really afraid of people"","spend time in prison or in a labor camp; "He did six years for embezzlement"","carry on or function; "We could do with a little more help around here"","arrange attractively; "dress my hair for the wedding"","travel or traverse (a distance); "This car does 150 miles per hour"; "We did 6 miles on our hike every day""
didact
didactic,"instructive (especially excessively)"
didacts
didactyl
didapper
didappers
diddle,"deprive of by deceit; "He swindled me out of my inheritance"; "She defrauded the customers who trusted her"; "the cashier gypped me when he gave me too little change"","manipulate manually or in one's mind or imagination; "She played nervously with her wedding ring"; "Don't fiddle with the screws"; "He played with the idea of running for the Senate""
diddled
diddler
diddlers
diddles,"deprive of by deceit; "He swindled me out of my inheritance"; "She defrauded the customers who trusted her"; "the cashier gypped me when he gave me too little change"","manipulate manually or in one's mind or imagination; "She played nervously with her wedding ring"; "Don't fiddle with the screws"; "He played with the idea of running for the Senate""
diddling
didies
dido,"(Roman mythology) a princess of Tyre who was the founder and queen of Carthage; Virgil tells of her suicide when she was abandoned by Aeneas"
didoes,"(Roman mythology) a princess of Tyre who was the founder and queen of Carthage; Virgil tells of her suicide when she was abandoned by Aeneas"
didos,"(Roman mythology) a princess of Tyre who was the founder and queen of Carthage; Virgil tells of her suicide when she was abandoned by Aeneas"
didst
didy
didymium
didymiums
didymous
didynamies
didynamy
die,"a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers","a device used for shaping metal","a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods","pass from physical life and lose all bodily attributes and functions necessary to sustain life; "She died from cancer"; "The children perished in the fire"; "The patient went peacefully"; "The old guy kicked the bucket at the age of 102"","suffer or face the pain of death; "Martyrs may die every day for their faith"","be brought to or as if to the point of death by an intense emotion such as embarrassment, amusement, or shame; "I was dying with embarrassment when my little lie was discovered"; "We almost died laughing during the show"","stop operating or functioning; "The engine finally went"; "The car died on the road"; "The bus we travelled in broke down on the way to town"; "The coffee maker broke"; "The engine failed on the way to town"; "her eyesight went after the accident"","feel indifferent towards; "She died to worldly things and eventually entered a monastery"","languish as with love or desire; "She dying for a cigarette"; "I was dying to leave"","cut or shape with a die; "Die out leather for belts"","to be on base at the end of an inning, of a player","lose sparkle or bouquet; "wine and beer can pall"","disappear or come to an end; "Their anger died"; "My secret will die with me!"","suffer spiritual death; be damned (in the religious sense); "Whosoever..believes in me shall never die""
dieback,"a disease of plants characterized by the gradual dying of the young shoots starting at the tips and progressing to the larger branches"
diebacks,"a disease of plants characterized by the gradual dying of the young shoots starting at the tips and progressing to the larger branches"
diecious
died
diehard,"one who adheres to traditional views"
diehards,"one who adheres to traditional views"
dieing
diel
dieldrin
dieldrins
diemaker,"someone who makes dies"
diemakers,"someone who makes dies"
diene
dienes
diereses,"a diacritical mark (two dots) placed over a vowel in German to indicate a change in sound"
dieresis,"a diacritical mark (two dots) placed over a vowel in German to indicate a change in sound"
dieretic
dies,"a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers","a device used for shaping metal","a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods","pass from physical life and lose all bodily attributes and functions necessary to sustain life; "She died from cancer"; "The children perished in the fire"; "The patient went peacefully"; "The old guy kicked the bucket at the age of 102"","suffer or face the pain of death; "Martyrs may die every day for their faith"","be brought to or as if to the point of death by an intense emotion such as embarrassment, amusement, or shame; "I was dying with embarrassment when my little lie was discovered"; "We almost died laughing during the show"","stop operating or functioning; "The engine finally went"; "The car died on the road"; "The bus we travelled in broke down on the way to town"; "The coffee maker broke"; "The engine failed on the way to town"; "her eyesight went after the accident"","feel indifferent towards; "She died to worldly things and eventually entered a monastery"","languish as with love or desire; "She dying for a cigarette"; "I was dying to leave"","cut or shape with a die; "Die out leather for belts"","to be on base at the end of an inning, of a player","lose sparkle or bouquet; "wine and beer can pall"","disappear or come to an end; "Their anger died"; "My secret will die with me!"","suffer spiritual death; be damned (in the religious sense); "Whosoever..believes in me shall never die""
diesel,"German engineer (born in France) who invented the diesel engine (1858-1913)","an internal-combustion engine that burns heavy oil"
diesels,"German engineer (born in France) who invented the diesel engine (1858-1913)","an internal-combustion engine that burns heavy oil"
dieses,"a character used in printing to indicate a cross reference or footnote"
diesis,"a character used in printing to indicate a cross reference or footnote"
diester
diesters
diestock,"a device that holds the dies that cut external threads on metal cylinders"
diestocks,"a device that holds the dies that cut external threads on metal cylinders"
diestrum,"(of animals having several estrous cycles in one breeding season) a state or interval of sexual inactivity or quiescence between periods of activity"
diestrums,"(of animals having several estrous cycles in one breeding season) a state or interval of sexual inactivity or quiescence between periods of activity"
diestrus,"(of animals having several estrous cycles in one breeding season) a state or interval of sexual inactivity or quiescence between periods of activity"
diestruses
diet,"a prescribed selection of foods","a legislative assembly in certain countries (e.g., Japan)","the usual food and drink consumed by an organism (person or animal)","the act of restricting your food intake (or your intake of particular foods)","follow a regimen or a diet, as for health reasons; "He has high blood pressure and must stick to a low-salt diet"","eat sparingly, for health reasons or to lose weight"
dietaries
dietary,"a regulated daily food allowance","of or relating to the diet; "dietary restrictions""
dieted
dieter,"a person who diets"
dieters,"a person who diets"
dietetic,"of or relating to the diet; "dietary restrictions""
dietetics,"the scientific study of food preparation and intake","of or relating to the diet; "dietary restrictions""
dietician,"a specialist in the study of nutrition"
dieticians,"a specialist in the study of nutrition"
dieting,"the act of restricting your food intake (or your intake of particular foods)"
diets,"a prescribed selection of foods","a legislative assembly in certain countries (e.g., Japan)","the usual food and drink consumed by an organism (person or animal)","the act of restricting your food intake (or your intake of particular foods)","follow a regimen or a diet, as for health reasons; "He has high blood pressure and must stick to a low-salt diet"","eat sparingly, for health reasons or to lose weight"
differ,"be different; "These two tests differ in only one respect"","be of different opinions; "I beg to differ!"; "She disagrees with her husband on many questions""
differed
difference,"the quality of being unlike or dissimilar; "there are many differences between jazz and rock"","a variation that deviates from the standard or norm; "the deviation from the mean"","a disagreement or argument about something important; "he had a dispute with his wife"; "there were irreconcilable differences"; "the familiar conflict between Republicans and Democrats"","a significant change; "the difference in her is amazing"; "his support made a real difference"","the number that remains after subtraction; the number that when added to the subtrahend gives the minuend"
differences,"the quality of being unlike or dissimilar; "there are many differences between jazz and rock"","a variation that deviates from the standard or norm; "the deviation from the mean"","a disagreement or argument about something important; "he had a dispute with his wife"; "there were irreconcilable differences"; "the familiar conflict between Republicans and Democrats"","a significant change; "the difference in her is amazing"; "his support made a real difference"","the number that remains after subtraction; the number that when added to the subtrahend gives the minuend"
different,"unlike in nature or quality or form or degree; "took different approaches to the problem"; "came to a different conclusion"; "different parts of the country"; "on different sides of the issue"; "this meeting was different from the earlier one"","distinctly separate from the first; "that's another (or different) issue altogether"","differing from all others; not ordinary; "advertising that strives continually to be different"; "this new music is certainly different but I don't really like it"","marked by dissimilarity; "for twins they are very unlike"; "people are profoundly different"","distinct or separate; "each interviewed different members of the community""
differential,"the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x)/dx","a quality that differentiates between similar things","a bevel gear that permits rotation of two shafts at different speeds; used on the rear axle of automobiles to allow wheels to rotate at different speeds on curves","relating to or showing a difference; "differential treatment"","involving or containing one or more derivatives; "differential equation""
differentials,"the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x)/dx","a quality that differentiates between similar things","a bevel gear that permits rotation of two shafts at different speeds; used on the rear axle of automobiles to allow wheels to rotate at different speeds on curves","relating to or showing a difference; "differential treatment"","involving or containing one or more derivatives; "differential equation""
differentiate,"mark as different; "We distinguish several kinds of maple"","be a distinctive feature, attribute, or trait; sometimes in a very positive sense; "His modesty distinguishes him from his peers"","calculate a derivative; take the derivative","become different during development; "cells differentiate"","evolve so as to lead to a new species or develop in a way most suited to the environment","become distinct and acquire a different character"
differentiated,"made different (especially in the course of development) or shown to be different; "the differentiated markings of butterflies"; "the regionally differentiated results"","exhibiting biological specialization; adapted during development to a specific function or environment"
differentiates,"mark as different; "We distinguish several kinds of maple"","be a distinctive feature, attribute, or trait; sometimes in a very positive sense; "His modesty distinguishes him from his peers"","calculate a derivative; take the derivative","become different during development; "cells differentiate"","evolve so as to lead to a new species or develop in a way most suited to the environment","become distinct and acquire a different character"
differentiating
differentiation,"a discrimination between things as different and distinct; "it is necessary to make a distinction between love and infatuation"","the mathematical process of obtaining the derivative of a function","(biology) the structural adaptation of some body part for a particular function; "cell differentiation in the developing embryo""
differently,"in another and different manner; "very soon you will know differently"; "she thought otherwise"; "there is no way out other than the fire escape";"
differing
differs,"be different; "These two tests differ in only one respect"","be of different opinions; "I beg to differ!"; "She disagrees with her husband on many questions""
difficult,"not easy; requiring great physical or mental effort to accomplish or comprehend or endure; "a difficult task"; "nesting places on the cliffs are difficult of access"; "difficult times"; "why is it so hard for you to keep a secret?"","hard to control; "a difficult child", "an unmanageable situation""
difficulties
difficulty,"an effort that is inconvenient; "I went to a lot of trouble"; "he won without any trouble"; "had difficulty walking"; "finished the test only with great difficulty"","a factor causing trouble in achieving a positive result or tending to produce a negative result; "serious difficulties were encountered in obtaining a pure reagent"","a condition or state of affairs almost beyond one's ability to deal with and requiring great effort to bear or overcome; "grappling with financial difficulties"","the quality of being difficult; "they agreed about the difficulty of the climb""
diffidence,"lack of self-confidence"
diffidences,"lack of self-confidence"
diffident,"showing modest reserve; "she was diffident when offering a comment on the professor's lecture"","lacking self-confidence; "stood in the doorway diffident and abashed"; "problems that call for bold not timid responses"; "a very unsure young man""
diffract,"undergo diffraction; "laser light diffracts electrons""
diffracted
diffracting
diffracts,"undergo diffraction; "laser light diffracts electrons""
