kaas
kales,"informal terms for money","a hardy cabbage with coarse curly leaves that do not form a head","coarse curly-leafed cabbage"
kalewife
kalewives
kaleyard
kaleyards
kalian,"an oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water; "a bipolar world with the hookah and Turkish coffee versus hamburgers and Coca Cola""
kalians,"an oriental tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water; "a bipolar world with the hookah and Turkish coffee versus hamburgers and Coca Cola""
kalif,"the civil and religious leader of a Muslim state considered to be a representative of Allah on earth; "many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world""
kalifate
kalifates
kalifs,"the civil and religious leader of a Muslim state considered to be a representative of Allah on earth; "many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world""
kalimba
kalimbas
kaliph,"the civil and religious leader of a Muslim state considered to be a representative of Allah on earth; "many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world""
kaliphs,"the civil and religious leader of a Muslim state considered to be a representative of Allah on earth; "many radical Muslims believe a Khalifah will unite all Islamic lands and people and subjugate the rest of the world""
kalium
kaliums
kallidin
kallidins
kalmia,"any plant of the genus Kalmia"
kalmias,"any plant of the genus Kalmia"
kalong
kalongs
kalpa
kalpak
kalpaks
kalpas
kalyptra
kalyptras
kamaaina
kamaainas
kamacite
kamacites
kamala
kamalas
kame
kames
kami,"one the Shinto deities (including mythological beings, spirits of distinguished men, forces of nature)"
kamik
kamikaze,"a fighter plane used for suicide missions by Japanese pilots in World War II","a pilot trained and willing to cause a suicidal crash"
kamikazes,"a fighter plane used for suicide missions by Japanese pilots in World War II","a pilot trained and willing to cause a suicidal crash"
kamiks
kampong,"a native village in Malaysia"
kampongs,"a native village in Malaysia"
kamseen
kamseens
kamsin
kamsins
kana
kanas
kane
kanes
kangaroo,"any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail"
kangaroos,"any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail"
kanji
kanjis
kantar
kantars
kantele
kanteles
kaoliang,"sorghums of China and Manchuria having small white or brown grains (used for food) and dry pithy stalks (used for fodder, fuel and thatching)"
kaoliangs,"sorghums of China and Manchuria having small white or brown grains (used for food) and dry pithy stalks (used for fodder, fuel and thatching)"
kaolin,"a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper)"
kaoline,"a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper)"
kaolines,"a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper)"
kaolinic
kaolins,"a fine usually white clay formed by the weathering of aluminous minerals (as feldspar); used in ceramics and as an absorbent and as a filler (e.g., in paper)"
kaon,"an unstable meson produced as the result of a high-energy particle collision"
kaons,"an unstable meson produced as the result of a high-energy particle collision"
kapa
kapas
kaph,"the 11th letter of the Hebrew alphabet"
kaphs,"the 11th letter of the Hebrew alphabet"
kapok,"a plant fiber from the kapok tree; used for stuffing and insulation","massive tropical tree with deep ridges on its massive trunk and bearing large pods of seeds covered with silky floss; source of the silky kapok fiber"
kapoks,"a plant fiber from the kapok tree; used for stuffing and insulation","massive tropical tree with deep ridges on its massive trunk and bearing large pods of seeds covered with silky floss; source of the silky kapok fiber"
kappa,"the 10th letter of the Greek alphabet"
kappas,"the 10th letter of the Greek alphabet"
kaput,"destroyed or killed; "we are gone geese""
kaputt
karakul,"hardy coarse-haired sheep of central Asia; lambs are valued for their soft curly black fur"
karakuls,"hardy coarse-haired sheep of central Asia; lambs are valued for their soft curly black fur"
karat,"the unit of measurement for the proportion of gold in an alloy; 18-karat gold is 75% gold; 24-karat gold is pure gold"
karate,"a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent"
karates,"a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent"
karats,"the unit of measurement for the proportion of gold in an alloy; 18-karat gold is 75% gold; 24-karat gold is pure gold"
karma,"(Hinduism and Buddhism) the effects of a person's actions that determine his destiny in his next incarnation"
karmas,"(Hinduism and Buddhism) the effects of a person's actions that determine his destiny in his next incarnation"
karmic
karn
karnofsky
karns
karoo
karoos
kaross
karosses
karroo
karroos
karst
karstic
karsts
kart
karting
kartings
karts
karyotin
karyotins
kas,"unknown god; an epithet of Prajapati and Brahma"
kasha,"boiled or baked buckwheat"
kashas,"boiled or baked buckwheat"
kasher
kashered
kashering
kashers
kashmir,"an area in southwestern Asia whose sovereignty is disputed between Pakistan and India"
kashmirs,"an area in southwestern Asia whose sovereignty is disputed between Pakistan and India"
kashrut
kashruth
kashruths
kashruts
kat,"the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant; "in Yemen kat is used daily by 85% of adults""
katakana
katakanas
kathodal
kathode
kathodes
kathodic
kation
kations
kats,"the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant; "in Yemen kat is used daily by 85% of adults""
katydid,"large green long-horned grasshopper of North America; males produce shrill sounds by rubbing together special organs on the forewings"
katydids,"large green long-horned grasshopper of North America; males produce shrill sounds by rubbing together special organs on the forewings"
kauri,"resin of the kauri trees of New Zealand; found usually as a fossil; also collected for making varnishes and linoleum","tall timber tree of New Zealand having white straight-grained wood","white close-grained wood of a tree of the genus Agathis especially Agathis australis"
kauries
kauris,"resin of the kauri trees of New Zealand; found usually as a fossil; also collected for making varnishes and linoleum","tall timber tree of New Zealand having white straight-grained wood","white close-grained wood of a tree of the genus Agathis especially Agathis australis"
kaury,"tall timber tree of New Zealand having white straight-grained wood"
kava,"an alcoholic drink made from the aromatic roots of the kava shrub"
kavas,"an alcoholic drink made from the aromatic roots of the kava shrub"
kavass
kavasses
kay
kayak,"a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos","travel in a small canoe; "we kayaked down the river""
kayaker
kayakers
kayaks,"a small canoe consisting of a light frame made watertight with animal skins; used by Eskimos","travel in a small canoe; "we kayaked down the river""
kayles
kayo,"a blow that renders the opponent unconscious","knock unconscious or senseless; "the boxing champion knocked out his opponent in a few seconds""
kayoed,"knocked unconscious by a heavy blow"
kayoes
kayoing
kayos,"a blow that renders the opponent unconscious","knock unconscious or senseless; "the boxing champion knocked out his opponent in a few seconds""
kays
kazoo,"a toy wind instrument that has a membrane that makes a sound when you hum into the mouthpiece"
kazoos,"a toy wind instrument that has a membrane that makes a sound when you hum into the mouthpiece"
