ava
averages,"a statistic describing the location of a distribution; "it set the norm for American homes"","(sports) the ratio of successful performances to opportunities","an intermediate scale value regarded as normal or usual; "he is about average in height"; "the snowfall this month is below average"","amount to or come to an average, without loss or gain; "The number of hours I work per work averages out to 40"","achieve or reach on average; "He averaged a C"","compute the average of","approximating the statistical norm or average or expected value; "the average income in New England is below that of the nation"; "of average height for his age"; "the mean annual rainfall"","lacking special distinction, rank, or status; commonly encountered; "average people"; "the ordinary (or common) man in the street"","lacking exceptional quality or ability; "a novel of average merit"; "only a fair performance of the sonata"; "in fair health"; "the caliber of the students has gone from mediocre to above average"; "the performance was middling at best"","around the middle of a scale of evaluation; "an orange of average size"; "intermediate capacity"; "medium bombers"","relating to or constituting the most frequent value in a distribution; "the modal age at which American novelists reach their peak is 30"","relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values); "the median value of 17, 20, and 36 is 20"; "the median income for the year was $15,000""
averaging
averment,"a declaration that is made emphatically (as if no supporting evidence were necessary)"
averments,"a declaration that is made emphatically (as if no supporting evidence were necessary)"
averred,"report or maintain; "He alleged that he was the victim of a crime"; "He said it was too late to intervene in the war"; "The registrar says that I owe the school money"","to declare or affirm solemnly and formally as true; "Before God I swear I am innocent""
averring,"report or maintain; "He alleged that he was the victim of a crime"; "He said it was too late to intervene in the war"; "The registrar says that I owe the school money"","to declare or affirm solemnly and formally as true; "Before God I swear I am innocent""
avers,"report or maintain; "He alleged that he was the victim of a crime"; "He said it was too late to intervene in the war"; "The registrar says that I owe the school money"","to declare or affirm solemnly and formally as true; "Before God I swear I am innocent""
averse,"(usually followed by `to') strongly opposed; "antipathetic to new ideas"; "averse to taking risks"; "loath to go on such short notice"; "clearly indisposed to grant their request""
aversely
aversion,"a feeling of intense dislike","the act of turning yourself (or your gaze) away; "averting her gaze meant that she was angry""
aversions,"a feeling of intense dislike","the act of turning yourself (or your gaze) away; "averting her gaze meant that she was angry""
aversive,"tending to repel or dissuade; "aversive conditioning""
avert,"prevent the occurrence of; prevent from happening; "Let's avoid a confrontation"; "head off a confrontation"; "avert a strike"","turn away or aside; "They averted their eyes when the King entered""
averted
averting,"the act of preventing something from occurring; "averting danger was his responsibility"","the act of turning yourself (or your gaze) away; "averting her gaze meant that she was angry""
averts,"prevent the occurrence of; prevent from happening; "Let's avoid a confrontation"; "head off a confrontation"; "avert a strike"","turn away or aside; "They averted their eyes when the King entered""
aves,"(ornithology) the class of birds"
avgas
avgases
avgasses
avian,"pertaining to or characteristic of birds"
avianize,"to modify microorganisms by repeated culture in the developing chick embryo"
avianized
avianizes,"to modify microorganisms by repeated culture in the developing chick embryo"
avianizing
avians,"pertaining to or characteristic of birds"
aviaries
aviarist
aviarists
aviary,"a building where birds are kept"
aviate,"operate an airplane; "The pilot flew to Cuba""
aviated
aviates,"operate an airplane; "The pilot flew to Cuba""
aviating
aviation,"the aggregation of a country's military aircraft","the operation of aircraft to provide transportation","the art of operating aircraft","travel via aircraft; "air travel involves too much waiting in airports"; "if you've time to spare go by air""
aviations,"the aggregation of a country's military aircraft","the operation of aircraft to provide transportation","the art of operating aircraft","travel via aircraft; "air travel involves too much waiting in airports"; "if you've time to spare go by air""
aviator,"someone who operates an aircraft"
aviators,"someone who operates an aircraft"
aviatrices
aviatrix,"a woman aviator"
aviatrixes
avicular
avid,"(often followed by `for') ardently or excessively desirous; "avid for adventure"; "an avid ambition to succeed"; "fierce devouring affection"; "the esurient eyes of an avid curiosity"; "greedy for fame"","marked by active interest and enthusiasm; "an avid sports fan""
avidin
avidins
avidities
avidity,"a positive feeling of wanting to push ahead with something"
avidly,"in an avid manner; "whatever the flavor or color of your local paper, do remember that these are read avidly for local information""
avidness,"a positive feeling of wanting to push ahead with something"
avidnesses
avifauna,"the birds of a particular region or period"
avifaunae
avifaunas,"the birds of a particular region or period"
avigator
avigators
avion
avionic,"of or relating to avionics"
avionics,"science and technology of electronic systems and devices for aeronautics and astronautics; "avionics has become even more important with the development of the space program"","of or relating to avionics"
avions
aviso
avisos
avo,"100 avos equal 1 pataca in Macao"
avocado,"a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed","tropical American tree bearing large pulpy green fruits","of the dull yellowish green of the meat of an avocado"
avocadoes
avocados,"a pear-shaped tropical fruit with green or blackish skin and rich yellowish pulp enclosing a single large seed","tropical American tree bearing large pulpy green fruits","of the dull yellowish green of the meat of an avocado"
avocation,"an auxiliary activity"
avocations,"an auxiliary activity"
avocet,"long-legged web-footed black-and-white shorebird with slender upward-curving bill"
avocets,"long-legged web-footed black-and-white shorebird with slender upward-curving bill"
avodire
avodires
avoid,"stay clear from; keep away from; keep out of the way of someone or something; "Her former friends now avoid her"","prevent the occurrence of; prevent from happening; "Let's avoid a confrontation"; "head off a confrontation"; "avert a strike"","refrain from doing something; "She refrains from calling her therapist too often"; "He should avoid publishing his wife's memories"","refrain from certain foods or beverages; "I keep off drugs"; "During Ramadan, Muslims avoid tobacco during the day"","declare invalid; "The contract was annulled"; "void a plea""
avoidable,"capable of being avoided or warded off"
avoidance,"deliberately avoiding; keeping away from or preventing from happening"
avoidances,"deliberately avoiding; keeping away from or preventing from happening"
avoided
avoider
avoiders
avoiding
avoids,"stay clear from; keep away from; keep out of the way of someone or something; "Her former friends now avoid her"","prevent the occurrence of; prevent from happening; "Let's avoid a confrontation"; "head off a confrontation"; "avert a strike"","refrain from doing something; "She refrains from calling her therapist too often"; "He should avoid publishing his wife's memories"","refrain from certain foods or beverages; "I keep off drugs"; "During Ramadan, Muslims avoid tobacco during the day"","declare invalid; "The contract was annulled"; "void a plea""
avoidupois
avoidupoises
avos,"100 avos equal 1 pataca in Macao"
avoset
avosets
avouch,"admit openly and bluntly; make no bones about"
avouched
avoucher
avouchers
avouches
avouching
avow,"to declare or affirm solemnly and formally as true; "Before God I swear I am innocent"","admit openly and bluntly; make no bones about"
avowable
avowably
avowal,"a statement asserting the existence or the truth of something"
avowals,"a statement asserting the existence or the truth of something"
avowed,"openly declared as such; "an avowed enemy"; "her professed love of everything about that country"; "McKinley was assassinated by a professed anarchist""
avowedly,"by open declaration; "their policy has been avowedly Marxist"; "Susan Smith was professedly guilty of the murders"","as acknowledged; "true, she is the smartest in her class""
avower,"someone who admits or acknowledges openly and boldly","someone who claims to speak the truth; "a bold asserter"; "a declarer of his intentions"; "affirmers of traditional doctrine"; "an asseverator of strong convictions"; "an avower of his own great intelligence""
avowers,"someone who admits or acknowledges openly and boldly","someone who claims to speak the truth; "a bold asserter"; "a declarer of his intentions"; "affirmers of traditional doctrine"; "an asseverator of strong convictions"; "an avower of his own great intelligence""
avowing
avows,"to declare or affirm solemnly and formally as true; "Before God I swear I am innocent"","admit openly and bluntly; make no bones about"
avulse,"separate by avulsion"
avulsed
avulses,"separate by avulsion"
avulsing
avulsion,"an abrupt change in the course of a stream that forms the boundary between two parcels of land resulting in the loss of part of the land of one landowner and a consequent increase in the land of another","a forcible tearing or surgical separation of one body part from another"
avulsions,"an abrupt change in the course of a stream that forms the boundary between two parcels of land resulting in the loss of part of the land of one landowner and a consequent increase in the land of another","a forcible tearing or surgical separation of one body part from another"
