liabilities,"anything that is owed to someone else"
licks,"a salt deposit that animals regularly lick","touching with the tongue; "the dog's laps were warm and wet"","(boxing) a blow with the fist; "I gave him a clout on his nose"","beat thoroughly and conclusively in a competition or fight; "We licked the other team on Sunday!"","pass the tongue over; "the dog licked her hand"","find the solution to (a problem or question) or understand the meaning of; "did you solve the problem?"; "Work out your problems with the boss"; "this unpleasant situation isn't going to work itself out"; "did you get it?"; "Did you get my meaning?"; "He could not work the math problem"","take up with the tongue; "The cat lapped up the milk"; "the cub licked the milk from its mother's breast""
lickspit
lickspits
licorice,"deep-rooted coarse-textured plant native to the Mediterranean region having blue flowers and pinnately compound leaves; widely cultivated in Europe for its long thick sweet roots","a black candy flavored with the dried root of the licorice plant"
licorices,"deep-rooted coarse-textured plant native to the Mediterranean region having blue flowers and pinnately compound leaves; widely cultivated in Europe for its long thick sweet roots","a black candy flavored with the dried root of the licorice plant"
lictor
lictors
lid,"either of two folds of skin that can be moved to cover or open the eye; "his lids would stay open no longer"","a movable top or cover (hinged or separate) for closing the opening at the top of a box, chest, jar, pan, etc.; "he raised the piano lid"","headdress that protects the head from bad weather; has shaped crown and usually a brim"
lidar,"a measuring system that detects and locates objects on the same principle as radar but uses light from a laser; a potential technology for detecting air turbulence that can affect aircraft"
lidars,"a measuring system that detects and locates objects on the same principle as radar but uses light from a laser; a potential technology for detecting air turbulence that can affect aircraft"
lidded,"having or covered with a lid or lids; often used in combination; "milk is left in a large lidded mug"; "heavy-lidded eyes"","having a lid; "milk in a heavy lidded mug""
lidding
lidless,"not having or covered with a lid or lids; "a lidless container"","having no lid; "a lidless container"","always watchful; "to an eye like mine, a lidless watcher of the public weal"- Alfred Tennyson"
lido,"a recreational facility including a swimming pool for water sports"
lidos,"a recreational facility including a swimming pool for water sports"
lids,"either of two folds of skin that can be moved to cover or open the eye; "his lids would stay open no longer"","a movable top or cover (hinged or separate) for closing the opening at the top of a box, chest, jar, pan, etc.; "he raised the piano lid"","headdress that protects the head from bad weather; has shaped crown and usually a brim"
lie,"a statement that deviates from or perverts the truth","Norwegian diplomat who was the first Secretary General of the United Nations (1896-1968)","position or manner in which something is situated","be located or situated somewhere; occupy a certain position","be lying, be prostrate; be in a horizontal position; "The sick man lay in bed all day"; "the books are lying on the shelf"","originate (in); "The problems dwell in the social injustices in this country"","be and remain in a particular state or condition; "lie dormant"","tell an untruth; pretend with intent to deceive; "Don't lie to your parents"; "She lied when she told me she was only 29"","have a place in relation to something else; "The fate of Bosnia lies in the hands of the West"; "The responsibility rests with the Allies"","assume a reclining position; "lie down on the bed until you feel better""
lied,"a German art song of the 19th century for voice and piano"
lieder,"a German art song of the 19th century for voice and piano"
lief,"in a willing manner; "this was gladly agreed to"; "I would fain do it""
liefer
liefest
liefly
liege,"a person holding a fief; a person who owes allegiance and service to a feudal lord","a feudal lord entitled to allegiance and service","city in eastern Belgium; largest French-speaking city in Belgium","owing or owed feudal allegiance and service; "one's liege lord"; "a liege subject""
liegeman,"a person holding a fief; a person who owes allegiance and service to a feudal lord"
liegemen
lieges,"a person holding a fief; a person who owes allegiance and service to a feudal lord","a feudal lord entitled to allegiance and service","city in eastern Belgium; largest French-speaking city in Belgium","owing or owed feudal allegiance and service; "one's liege lord"; "a liege subject""
lien,"the right to take another's property if an obligation is not discharged","a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses"
lienable
lienal,"of or relating to the spleen"
liens,"the right to take another's property if an obligation is not discharged","a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses"
lienteries
lientery
lier
lierne
liernes
liers
lies,"a statement that deviates from or perverts the truth","Norwegian diplomat who was the first Secretary General of the United Nations (1896-1968)","position or manner in which something is situated","be located or situated somewhere; occupy a certain position","be lying, be prostrate; be in a horizontal position; "The sick man lay in bed all day"; "the books are lying on the shelf"","originate (in); "The problems dwell in the social injustices in this country"","be and remain in a particular state or condition; "lie dormant"","tell an untruth; pretend with intent to deceive; "Don't lie to your parents"; "She lied when she told me she was only 29"","have a place in relation to something else; "The fate of Bosnia lies in the hands of the West"; "The responsibility rests with the Allies"","assume a reclining position; "lie down on the bed until you feel better""
lieu,"the post or function properly or customarily occupied or served by another; "can you go in my stead?"; "took his place"; "in lieu of""
lieus,"the post or function properly or customarily occupied or served by another; "can you go in my stead?"; "took his place"; "in lieu of""
lieutenancies
lieutenancy,"the position of a lieutenant"
lieutenant,"a commissioned military officer","an officer in a police force","an assistant with power to act when his superior is absent","an officer holding a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant commander and above lieutenant junior grade"
lieutenants,"a commissioned military officer","an officer in a police force","an assistant with power to act when his superior is absent","an officer holding a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant commander and above lieutenant junior grade"
lieve
liever
lievest
life,"a characteristic state or mode of living; "social life"; "city life"; "real life"","the experience of being alive; the course of human events and activities; "he could no longer cope with the complexities of life"","the course of existence of an individual; the actions and events that occur in living; "he hoped for a new life in Australia"; "he wanted to live his own life without interference from others"","the condition of living or the state of being alive; "while there's life there's hope"; "life depends on many chemical and physical processes"","the period during which something is functional (as between birth and death); "the battery had a short life"; "he lived a long and happy life"","the period between birth and the present time; "I have known him all his life"","the period from the present until death; "he appointed himself emperor for life"","a living person; "his heroism saved a life"","animation and energy in action or expression; "it was a heavy play and the actors tried in vain to give life to it"","living things collectively; "the oceans are teeming with life"","the organic phenomenon that distinguishes living organisms from nonliving ones; "there is no life on the moon"","an account of the series of events making up a person's life","a motive for living; "pottery was his life"","a prison term lasting as long as the prisoner lives; "he got life for killing the guard""
lifeblood,"the blood considered as the seat of vitality","an essential or life-giving force; "water is the lifeblood of India""
lifebloods,"the blood considered as the seat of vitality","an essential or life-giving force; "water is the lifeblood of India""
lifeboat,"a strong sea boat designed to rescue people from a sinking ship"
lifeboats,"a strong sea boat designed to rescue people from a sinking ship"
lifeful
lifeguard,"an attendant employed at a beach or pool to protect swimmers from accidents"
lifeguards,"an attendant employed at a beach or pool to protect swimmers from accidents"
lifeless,"deprived of life; no longer living; "a lifeless body"","destitute or having been emptied of life or living beings; "after the dance the littered and lifeless ballroom echoed hollowly"","lacking animation or excitement or activity; "the party being dead we left early"; "it was a lifeless party until she arrived"","not having the capacity to support life; "a lifeless planet""
lifelike,"evoking lifelike images within the mind; "pictorial poetry and prose"; "graphic accounts of battle"; "a lifelike portrait"; "a vivid description"","free from artificiality; "a lifelike pose"; "a natural reaction""
lifeline,"a crease on the palm; its length is said by palmists to indicate how long you will live","support that enables people to survive or to continue doing something (often by providing an essential connection); "the airlift provided a lifeline for Berlin"; "she offered me a lifeline in my time of grief"","line that raises or lowers a deep-sea diver","line thrown from a vessel that people can cling to in order to save themselves from drowning"
lifelines,"a crease on the palm; its length is said by palmists to indicate how long you will live","support that enables people to survive or to continue doing something (often by providing an essential connection); "the airlift provided a lifeline for Berlin"; "she offered me a lifeline in my time of grief"","line that raises or lowers a deep-sea diver","line thrown from a vessel that people can cling to in order to save themselves from drowning"
lifelong,"continuing through life; "a lifelong friend"; "from lifelong habit"; "his lifelong study of Greek art""
lifer,"a prisoner serving a term of life imprisonment"
lifers,"a prisoner serving a term of life imprisonment"
lifesaver,"an attendant employed at a beach or pool to protect swimmers from accidents","a life preserver in the form of a ring of buoyant material"
lifesavers,"an attendant employed at a beach or pool to protect swimmers from accidents","a life preserver in the form of a ring of buoyant material"
lifesaving,"saving the lives of drowning persons; "he took a course in lifesaving""
lifesavings,"saving the lives of drowning persons; "he took a course in lifesaving""
lifetime,"the period during which something is functional (as between birth and death); "the battery had a short life"; "he lived a long and happy life""
lifetimes,"the period during which something is functional (as between birth and death); "the battery had a short life"; "he lived a long and happy life""
lifeway
lifeways
lifework,"the principal work of your career"
lifeworks,"the principal work of your career"
lift,"the act of giving temporary assistance","the component of the aerodynamic forces acting on an airfoil that opposes gravity","the event of something being raised upward; "an elevation of the temperature in the afternoon"; "a raising of the land resulting from volcanic activity"","a wave that lifts the surface of the water or ground","a powered conveyance that carries skiers up a hill","a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg","one of the layers forming the heel of a shoe or boot","lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building","plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised; "some actresses have more than one face lift"","transportation of people or goods by air (especially when other means of access are unavailable)","a ride in a car; "he gave me a lift home"","the act of raising something; "he responded with a lift of his eyebrow"; "fireman learn several different raises for getting ladders up"","raise from a lower to a higher position; "Raise your hands"; "Lift a load"","take hold of something and move it to a different location; "lift the box onto the table"","move upwards; "lift one's eyes"","move upward; "The fog lifted"; "The smoke arose from the forest fire"; "The mist uprose from the meadows"","make audible; "He lifted a war whoop"","cancel officially; "He revoked the ban on smoking"; "lift an embargo"; "vacate a death sentence"","make off with belongings of others","raise or haul up with or as if with mechanical help; "hoist the bicycle onto the roof of the car"","invigorate or heighten; "lift my spirits"; "lift his ego"","raise in rank or condition; "The new law lifted many people from poverty"","take off or away by decreasing; "lift the pressure"","rise up; "The building rose before them"","pay off (a mortgage)","take without referencing from someone else's writing or speech; of intellectual property","take illegally; "rustle cattle"","fly people or goods to or from places not accessible by other means; "Food is airlifted into Bosnia"","take (root crops) out of the ground; "lift potatoes"","call to stop the hunt or to retire, as of hunting dogs","rise upward, as from pressure or moisture; "The floor is lifting slowly"","put an end to; "lift a ban"; "raise a siege"","remove (hair) by scalping","remove from a seedbed or from a nursery; "lift the tulip bulbs"","remove from a surface; "the detective carefully lifted some fingerprints from the table"","perform cosmetic surgery on someone's face"
liftable
lifted,"held up in the air; "stood with arms upraised"; "her upraised flag""
lifter,"an athlete who lifts barbells","a thief who steals goods that are in a store"
lifters,"an athlete who lifts barbells","a thief who steals goods that are in a store"
lifting
liftman,"a man employed to operate an elevator; "in England they call an elevator man a liftman""
liftmen
liftoff,"the initial ascent of a rocket from its launching pad"
liftoffs,"the initial ascent of a rocket from its launching pad"
lifts,"the act of giving temporary assistance","the component of the aerodynamic forces acting on an airfoil that opposes gravity","the event of something being raised upward; "an elevation of the temperature in the afternoon"; "a raising of the land resulting from volcanic activity"","a wave that lifts the surface of the water or ground","a powered conveyance that carries skiers up a hill","a device worn in a shoe or boot to make the wearer look taller or to correct a shortened leg","one of the layers forming the heel of a shoe or boot","lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building","plastic surgery to remove wrinkles and other signs of aging from your face; an incision is made near the hair line and skin is pulled back and excess tissue is excised; "some actresses have more than one face lift"","transportation of people or goods by air (especially when other means of access are unavailable)","a ride in a car; "he gave me a lift home"","the act of raising something; "he responded with a lift of his eyebrow"; "fireman learn several different raises for getting ladders up"","raise from a lower to a higher position; "Raise your hands"; "Lift a load"","take hold of something and move it to a different location; "lift the box onto the table"","move upwards; "lift one's eyes"","move upward; "The fog lifted"; "The smoke arose from the forest fire"; "The mist uprose from the meadows"","make audible; "He lifted a war whoop"","cancel officially; "He revoked the ban on smoking"; "lift an embargo"; "vacate a death sentence"","make off with belongings of others","raise or haul up with or as if with mechanical help; "hoist the bicycle onto the roof of the car"","invigorate or heighten; "lift my spirits"; "lift his ego"","raise in rank or condition; "The new law lifted many people from poverty"","take off or away by decreasing; "lift the pressure"","rise up; "The building rose before them"","pay off (a mortgage)","take without referencing from someone else's writing or speech; of intellectual property","take illegally; "rustle cattle"","fly people or goods to or from places not accessible by other means; "Food is airlifted into Bosnia"","take (root crops) out of the ground; "lift potatoes"","call to stop the hunt or to retire, as of hunting dogs","rise upward, as from pressure or moisture; "The floor is lifting slowly"","put an end to; "lift a ban"; "raise a siege"","remove (hair) by scalping","remove from a seedbed or from a nursery; "lift the tulip bulbs"","remove from a surface; "the detective carefully lifted some fingerprints from the table"","perform cosmetic surgery on someone's face"
ligament,"a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs","any connection or unifying bond"
ligaments,"a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs","any connection or unifying bond"
ligan,"goods (or wreckage) on the sea bed that is attached to a buoy so that it can be recovered"
ligand,"a substance (an atom or molecule or radical or ion) that forms a complex around a central atom"
ligands,"a substance (an atom or molecule or radical or ion) that forms a complex around a central atom"
ligans,"goods (or wreckage) on the sea bed that is attached to a buoy so that it can be recovered"
ligase
ligases
ligate,"join letters in a ligature when writing","bind chemically; "The enzyme ligated"","bind with a bandage or ligature; "ligate the artery""
ligated
ligates,"join letters in a ligature when writing","bind chemically; "The enzyme ligated"","bind with a bandage or ligature; "ligate the artery""
ligating
ligation,"(surgery) tying a duct or blood vessel with a ligature (as to prevent bleeding during surgery)"
ligations,"(surgery) tying a duct or blood vessel with a ligature (as to prevent bleeding during surgery)"
ligative
ligature,"(music) a group of notes connected by a slur","character consisting of two or more letters combined into one","a metal band used to attach a reed to the mouthpiece of a clarinet or saxophone","thread used by surgeons to bind a vessel (as to constrict the flow of blood)","something used to tie or bind","the act of tying or binding things together"
ligatured
ligatures,"(music) a group of notes connected by a slur","character consisting of two or more letters combined into one","a metal band used to attach a reed to the mouthpiece of a clarinet or saxophone","thread used by surgeons to bind a vessel (as to constrict the flow of blood)","something used to tie or bind","the act of tying or binding things together"
ligaturing
