kiang,"wild ass of Tibet and Mongolia"
kicks,"the act of delivering a blow with the foot; "he gave the ball a powerful kick"; "the team's kicking was excellent"","the swift release of a store of affective force; "they got a great bang out of it"; "what a boot!"; "he got a quick rush from injecting heroin"; "he does it for kicks"","the backward jerk of a gun when it is fired","informal terms for objecting; "I have a gripe about the service here"","the sudden stimulation provided by strong drink (or certain drugs); "a sidecar is a smooth drink but it has a powerful kick"","a rhythmic thrusting movement of the legs as in swimming or calisthenics; "the kick must be synchronized with the arm movements"; "the swimmer's kicking left a wake behind him"","drive or propel with the foot","thrash about or strike out with the feet","strike with the foot; "The boy kicked the dog"; "Kick the door down"","kick a leg up","spring back, as from a forceful thrust; "The gun kicked back into my shoulder"","stop consuming; "kick a habit"; "give up alcohol"","make a goal; "He kicked the extra point after touchdown"","express complaints, discontent, displeasure, or unhappiness; "My mother complains all day"; "She has a lot to kick about""
kickshaw,"something considered choice to eat"
kickshaws,"something considered choice to eat"
kickup
kickups
kid,"a young person of either sex; "she writes books for children"; "they're just kids"; "`tiddler' is a British term for youngster"","soft smooth leather from the hide of a young goat; "kid gloves"","English dramatist (1558-1594)","a human offspring (son or daughter) of any age; "they had three children"; "they were able to send their kids to college"","young goat","tell false information to for fun; "Are you pulling my leg?"","be silly or tease one another; "After we relaxed, we just kidded around""
kidded,"tell false information to for fun; "Are you pulling my leg?"","be silly or tease one another; "After we relaxed, we just kidded around""
kidder
kidders
kiddie
kiddies
kidding,"tell false information to for fun; "Are you pulling my leg?"","be silly or tease one another; "After we relaxed, we just kidded around""
kiddingly
kiddish
kiddo
kiddoes
kiddos
kiddush
kiddushes
kiddy,"a young child"
kidlike
kidnap,"take away to an undisclosed location against their will and usually in order to extract a ransom; "The industrialist's son was kidnapped""
kidnaped
kidnaper,"someone who unlawfully seizes and detains a victim (usually for ransom)"
kidnapers,"someone who unlawfully seizes and detains a victim (usually for ransom)"
kidnaping
kidnapped,"take away to an undisclosed location against their will and usually in order to extract a ransom; "The industrialist's son was kidnapped""
kidnapper,"someone who unlawfully seizes and detains a victim (usually for ransom)"
kidnappers,"someone who unlawfully seizes and detains a victim (usually for ransom)"
kidnapping,"(law) the unlawful act of capturing and carrying away a person against their will and holding them in false imprisonment","take away to an undisclosed location against their will and usually in order to extract a ransom; "The industrialist's son was kidnapped""
kidnaps,"take away to an undisclosed location against their will and usually in order to extract a ransom; "The industrialist's son was kidnapped""
kidney,"either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine; "urine passes out of the kidney through ureters to the bladder""
kidneys,"either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine; "urine passes out of the kidney through ureters to the bladder""
kids,"a young person of either sex; "she writes books for children"; "they're just kids"; "`tiddler' is a British term for youngster"","soft smooth leather from the hide of a young goat; "kid gloves"","English dramatist (1558-1594)","a human offspring (son or daughter) of any age; "they had three children"; "they were able to send their kids to college"","young goat","tell false information to for fun; "Are you pulling my leg?"","be silly or tease one another; "After we relaxed, we just kidded around""
kidskin,"soft smooth leather from the hide of a young goat; "kid gloves""
kidskins,"soft smooth leather from the hide of a young goat; "kid gloves""
kief
kiefs
kielbasa
kielbasas
kielbasy
kier
kiers
kiester
kiesters
kif
kifs
kike,"(ethnic slur) offensive term for a Jew"
kikes,"(ethnic slur) offensive term for a Jew"
kilim
kilims
kill,"the act of terminating a life","the destruction of an enemy plane or ship or tank or missile; "the pilot reported two kills during the mission"","cause to die; put to death, usually intentionally or knowingly; "This man killed several people when he tried to rob a bank"; "The farmer killed a pig for the holidays"","thwart the passage of; "kill a motion"; "he shot down the student's proposal"","end or extinguish by forceful means; "Stamp out poverty!"","be fatal; "cigarettes kill"; "drunken driving kills"","be the source of great pain for; "These new shoes are killing me!"","overwhelm with hilarity, pleasure, or admiration; "The comedian was so funny, he was killing me!"","hit with so much force as to make a return impossible, in racket games; "She killed the ball"","hit with great force; "He killed the ball"","deprive of life; "AIDS has killed thousands in Africa"","cause the death of, without intention; "She was killed in the collision of three cars"","drink down entirely; "He downed three martinis before dinner"; "She killed a bottle of brandy that night"; "They popped a few beer after work"","mark for deletion, rub off, or erase; "kill these lines in the President's speech"","tire out completely; "The daily stress of her work is killing her"","cause to cease operating; "kill the engine"","destroy a vitally essential quality of or in; "Eating artichokes kills the taste of all other foods""
killdee
killdeer,"American plover of inland waters and fields having a distinctive cry"
killdeers,"American plover of inland waters and fields having a distinctive cry"
killdees
killed
killer,"someone who causes the death of a person or animal","the causal agent resulting in death; "heart disease is the biggest killer in the United States"","a difficulty that is hard to deal with; "that exam was a real killer"","predatory black-and-white toothed whale with large dorsal fin; common in cold seas"
killers,"someone who causes the death of a person or animal","the causal agent resulting in death; "heart disease is the biggest killer in the United States"","a difficulty that is hard to deal with; "that exam was a real killer"","predatory black-and-white toothed whale with large dorsal fin; common in cold seas"
killick
killicks
killing,"an event that causes someone to die","the act of terminating a life","a very large profit","very funny; "a killing joke"; "sidesplitting antics""
killings,"an event that causes someone to die","the act of terminating a life","a very large profit","very funny; "a killing joke"; "sidesplitting antics""
killjoy,"someone who spoils the pleasure of others"
killjoys,"someone who spoils the pleasure of others"
killock
killocks
kills,"the act of terminating a life","the destruction of an enemy plane or ship or tank or missile; "the pilot reported two kills during the mission"","cause to die; put to death, usually intentionally or knowingly; "This man killed several people when he tried to rob a bank"; "The farmer killed a pig for the holidays"","thwart the passage of; "kill a motion"; "he shot down the student's proposal"","end or extinguish by forceful means; "Stamp out poverty!"","be fatal; "cigarettes kill"; "drunken driving kills"","be the source of great pain for; "These new shoes are killing me!"","overwhelm with hilarity, pleasure, or admiration; "The comedian was so funny, he was killing me!"","hit with so much force as to make a return impossible, in racket games; "She killed the ball"","hit with great force; "He killed the ball"","deprive of life; "AIDS has killed thousands in Africa"","cause the death of, without intention; "She was killed in the collision of three cars"","drink down entirely; "He downed three martinis before dinner"; "She killed a bottle of brandy that night"; "They popped a few beer after work"","mark for deletion, rub off, or erase; "kill these lines in the President's speech"","tire out completely; "The daily stress of her work is killing her"","cause to cease operating; "kill the engine"","destroy a vitally essential quality of or in; "Eating artichokes kills the taste of all other foods""
kiln,"a furnace for firing or burning or drying such things as porcelain or bricks"
kilned
kilning
kilns,"a furnace for firing or burning or drying such things as porcelain or bricks"
kilo,"one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites; "a kilogram is approximately 2.2 pounds""
kilobar
kilobars
kilobit,"a unit of information equal to 1000 bits"
kilobits,"a unit of information equal to 1000 bits"
kilocycle,"one thousand periods per second"
kilocycles,"one thousand periods per second"
kilogram,"one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites; "a kilogram is approximately 2.2 pounds""
kilograms,"one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites; "a kilogram is approximately 2.2 pounds""
kilohertz,"one thousand periods per second"
kilometer,"a metric unit of length equal to 1000 meters (or 0.621371 miles)"
kilometers,"a metric unit of length equal to 1000 meters (or 0.621371 miles)"
kilomole
kilomoles
kilorad
kilorads
kilos,"one thousand grams; the basic unit of mass adopted under the Systeme International d'Unites; "a kilogram is approximately 2.2 pounds""
kiloton,"one thousand tons","a measure of explosive power (of an atomic weapon) equal to that of 1000 tons of TNT"
kilotons,"one thousand tons","a measure of explosive power (of an atomic weapon) equal to that of 1000 tons of TNT"
kilovolt,"a unit of potential equal to a thousand volts"
kilovolts,"a unit of potential equal to a thousand volts"
kilowatt,"a unit of power equal to 1000 watts"
kilowatts,"a unit of power equal to 1000 watts"
kilt,"a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland"
kilted
kilter,"in working order; "out of kilter"; "in good kilter""
kilters,"in working order; "out of kilter"; "in good kilter""
kiltie
kilties
kilting
kiltings
kilts,"a knee-length pleated tartan skirt worn by men as part of the traditional dress in the Highlands of northern Scotland"
kilty
kimono,"a loose robe; imitated from robes originally worn by Japanese"
kimonoed
kimonos,"a loose robe; imitated from robes originally worn by Japanese"
kin,"a person having kinship with another or others; "he's kin"; "he's family"","group of people related by blood or marriage","related by blood"
kinase,"an enzyme that catalyzes the conversion of a proenzyme to an active enzyme"
kinases,"an enzyme that catalyzes the conversion of a proenzyme to an active enzyme"
kind,"a category of things distinguished by some common characteristic or quality; "sculpture is a form of art"; "what kinds of desserts are there?"","having or showing a tender and considerate and helpful nature; used especially of persons and their behavior; "kind to sick patients"; "a kind master"; "kind words showing understanding and sympathy"; "thanked her for her kind letter"","agreeable, conducive to comfort; "a dry climate kind to asthmatics"; "the genial sunshine";"hot summer pavements are anything but kind to the feet"","tolerant and forgiving under provocation; "our neighbor was very kind about the window our son broke""
kinder
kindergarten,"a preschool for children age 4 to 6 to prepare them for primary school"
kindergartens,"a preschool for children age 4 to 6 to prepare them for primary school"
kindergartner,"a child who attends a preschool or kindergarten"
kindergartners,"a child who attends a preschool or kindergarten"
kindest
kindhearted,"having or proceeding from an innately kind disposition; "a generous and kindhearted teacher""
kindle,"catch fire; "The dried grass of the prairie kindled, spreading the flames for miles"","cause to start burning; "The setting sun kindled the sky with oranges and reds"","call forth (emotions, feelings, and responses); "arouse pity"; "raise a smile"; "evoke sympathy""
kindled,"set afire; "the ignited paper"; "a kindled fire""
kindler
kindlers
kindles,"catch fire; "The dried grass of the prairie kindled, spreading the flames for miles"","cause to start burning; "The setting sun kindled the sky with oranges and reds"","call forth (emotions, feelings, and responses); "arouse pity"; "raise a smile"; "evoke sympathy""
kindless
kindlier,"showing or motivated by sympathy and understanding and generosity; "was charitable in his opinions of others"; "kindly criticism"; "a kindly act"; "sympathetic words"; "a large-hearted mentor"","pleasant and agreeable; "a kindly climate"; "kindly breeze""
kindliest,"showing or motivated by sympathy and understanding and generosity; "was charitable in his opinions of others"; "kindly criticism"; "a kindly act"; "sympathetic words"; "a large-hearted mentor"","pleasant and agreeable; "a kindly climate"; "kindly breeze""
kindliness,"friendliness evidence by a kindly and helpful disposition"
kindlinesses
kindling,"material for starting a fire","the act of setting something on fire"
kindlings,"material for starting a fire","the act of setting something on fire"
kindly,"showing or motivated by sympathy and understanding and generosity; "was charitable in his opinions of others"; "kindly criticism"; "a kindly act"; "sympathetic words"; "a large-hearted mentor"","pleasant and agreeable; "a kindly climate"; "kindly breeze"","in a kind manner or out of kindness; "He spoke kindly to the boy"; "she kindly overlooked the mistake""
kindness,"the quality of being warmhearted and considerate and humane and sympathetic","tendency to be kind and forgiving","a kind act"
kindnesses
kindred,"group of people related by blood or marriage","similar in quality or character; "a feeling akin to terror"; "kindred souls"; "the amateur is closely related to the collector"","related by blood or marriage; "kindred clans""
kindreds,"group of people related by blood or marriage","similar in quality or character; "a feeling akin to terror"; "kindred souls"; "the amateur is closely related to the collector"","related by blood or marriage; "kindred clans""
kinds,"a category of things distinguished by some common characteristic or quality; "sculpture is a form of art"; "what kinds of desserts are there?"","having or showing a tender and considerate and helpful nature; used especially of persons and their behavior; "kind to sick patients"; "a kind master"; "kind words showing understanding and sympathy"; "thanked her for her kind letter"","agreeable, conducive to comfort; "a dry climate kind to asthmatics"; "the genial sunshine";"hot summer pavements are anything but kind to the feet"","tolerant and forgiving under provocation; "our neighbor was very kind about the window our son broke""
kine,"domesticated bovine animals as a group regardless of sex or age; "so many head of cattle"; "wait till the cows come home"; "seven thin and ill-favored kine"- Bible; "a team of oxen""
kinema
kinemas
kines,"domesticated bovine animals as a group regardless of sex or age; "so many head of cattle"; "wait till the cows come home"; "seven thin and ill-favored kine"- Bible; "a team of oxen""
kineses
kinesics
kinesis,"a movement that is a response to a stimulus but is not oriented with respect to the source of stimulation"
kinetic,"relating to the motion of material bodies and the forces associated therewith; "kinetic energy"","characterized by motion; "modern dance has been called kinetic pantomime"","supplying motive force; "the complex civilization of which Rome was the kinetic center"- H.O.Taylor"
kinetics,"the branch of mechanics concerned with the forces that cause motions of bodies","relating to the motion of material bodies and the forces associated therewith; "kinetic energy"","characterized by motion; "modern dance has been called kinetic pantomime"","supplying motive force; "the complex civilization of which Rome was the kinetic center"- H.O.Taylor"
kinetin
kinetins
kinfolk,"people descended from a common ancestor; "his family has lived in Massachusetts since the Mayflower""
kinfolks,"people descended from a common ancestor; "his family has lived in Massachusetts since the Mayflower""
king,"a male sovereign; ruler of a kingdom","a competitor who holds a preeminent position","a very wealthy or powerful businessman; "an oil baron"","preeminence in a particular category or group or field; "the lion is the king of beasts"","United States woman tennis player (born in 1943)","United States guitar player and singer of the blues (born in 1925)","United States charismatic civil rights leader and Baptist minister who campaigned against the segregation of Blacks (1929-1968)","a checker that has been moved to the opponent's first row where it is promoted to a piece that is free to move either forward or backward","one of the four playing cards in a deck bearing the picture of a king","(chess) the weakest but the most important piece"
kingbird,"large American flycatcher"
kingbirds,"large American flycatcher"
kingbolt,"bolt that provides a steering joint in a motor vehicle"
kingbolts,"bolt that provides a steering joint in a motor vehicle"
kingcup,"swamp plant of Europe and North America having bright yellow flowers resembling buttercups","any of various plants of the genus Ranunculus"
kingcups,"swamp plant of Europe and North America having bright yellow flowers resembling buttercups","any of various plants of the genus Ranunculus"
kingdom,"a domain in which something is dominant; "the untroubled kingdom of reason"; "a land of make-believe"; "the rise of the realm of cotton in the south"","a country with a king as head of state","the domain ruled by a king or queen","a monarchy with a king or queen as head of state","the highest taxonomic group into which organisms are grouped; one of five biological categories: Monera or Protoctista or Plantae or Fungi or Animalia","a basic group of natural objects"
kingdoms,"a domain in which something is dominant; "the untroubled kingdom of reason"; "a land of make-believe"; "the rise of the realm of cotton in the south"","a country with a king as head of state","the domain ruled by a king or queen","a monarchy with a king or queen as head of state","the highest taxonomic group into which organisms are grouped; one of five biological categories: Monera or Protoctista or Plantae or Fungi or Animalia","a basic group of natural objects"
kinged
kingfish,"the lean flesh of any of several fish caught off the Atlantic coast of the United States","large edible mackerel of temperate United States coastal Atlantic waters","small silvery marine food fish found off California","any of several food and game fishes of the drum family indigenous to warm Atlantic waters of the North American coast","large game fish of Australia and New Zealand"
kingfisher,"nonpasserine large-headed bird with a short tail and long sharp bill; usually crested and bright-colored; feed mostly on fish"
kingfishers,"nonpasserine large-headed bird with a short tail and long sharp bill; usually crested and bright-colored; feed mostly on fish"
kingfishes,"the lean flesh of any of several fish caught off the Atlantic coast of the United States","large edible mackerel of temperate United States coastal Atlantic waters","small silvery marine food fish found off California","any of several food and game fishes of the drum family indigenous to warm Atlantic waters of the North American coast","large game fish of Australia and New Zealand"
kinghood
kinghoods
kinging
kingless
kinglet,"small birds resembling warblers but having some of the habits of titmice"
kinglets,"small birds resembling warblers but having some of the habits of titmice"
kinglier
kingliest
kinglike,"having the rank of or resembling or befitting a king; "symbolizing kingly power"; "the murder of his kingly guest""
kingly,"having the rank of or resembling or befitting a king; "symbolizing kingly power"; "the murder of his kingly guest""
kingpin,"the most important person in a group or undertaking","bolt that provides a steering joint in a motor vehicle","the front bowling pin in the triangular arrangement of ten pins"
kingpins,"the most important person in a group or undertaking","bolt that provides a steering joint in a motor vehicle","the front bowling pin in the triangular arrangement of ten pins"
kingpost
kingposts
kings,"a male sovereign; ruler of a kingdom","a competitor who holds a preeminent position","a very wealthy or powerful businessman; "an oil baron"","preeminence in a particular category or group or field; "the lion is the king of beasts"","United States woman tennis player (born in 1943)","United States guitar player and singer of the blues (born in 1925)","United States charismatic civil rights leader and Baptist minister who campaigned against the segregation of Blacks (1929-1968)","a checker that has been moved to the opponent's first row where it is promoted to a piece that is free to move either forward or backward","one of the four playing cards in a deck bearing the picture of a king","(chess) the weakest but the most important piece"
kingship,"the dignity or rank or position of a king"
kingships,"the dignity or rank or position of a king"
kingside
kingsides
kingwood,"handsome violet-streaked wood of the kingwood tree; used especially in cabinetwork","Brazilian tree yielding a handsome cabinet wood"
kingwoods,"handsome violet-streaked wood of the kingwood tree; used especially in cabinetwork","Brazilian tree yielding a handsome cabinet wood"
kinin,"any of a class of plant hormones that promote cell division and delay the senescence of leaves"
kinins,"any of a class of plant hormones that promote cell division and delay the senescence of leaves"
kink,"a painful muscle spasm especially in the neck or back (`rick' and `wrick' are British)","a sharp bend in a line produced when a line having a loop is pulled tight","a person with unusual sexual tastes","an eccentric idea","a difficulty or flaw in a plan or operation; "there are still a few kinks to iron out"","curl tightly; "crimp hair"","form a curl, curve, or kink; "the cigar smoke curled up at the ceiling""
kinkajou,"arboreal fruit-eating mammal of tropical America with a long prehensile tail","a kind of lemur"
kinkajous,"arboreal fruit-eating mammal of tropical America with a long prehensile tail","a kind of lemur"
kinked
kinkier,"(used of sexual behavior) showing or appealing to bizarre or deviant tastes; "kinky sex"; "perverted practices"","(of hair) in small tight curls","informal terms; strikingly unconventional"
kinkiest,"(used of sexual behavior) showing or appealing to bizarre or deviant tastes; "kinky sex"; "perverted practices"","(of hair) in small tight curls","informal terms; strikingly unconventional"
kinkily
kinking
kinks,"a painful muscle spasm especially in the neck or back (`rick' and `wrick' are British)","a sharp bend in a line produced when a line having a loop is pulled tight","a person with unusual sexual tastes","an eccentric idea","a difficulty or flaw in a plan or operation; "there are still a few kinks to iron out"","curl tightly; "crimp hair"","form a curl, curve, or kink; "the cigar smoke curled up at the ceiling""
kinky,"(used of sexual behavior) showing or appealing to bizarre or deviant tastes; "kinky sex"; "perverted practices"","(of hair) in small tight curls","informal terms; strikingly unconventional"
kino,"a gum obtained from various tropical plants; used as an astringent and in tanning","East Indian tree yielding a resin or extract often used medicinally and in e.g. tanning"
kinos,"a gum obtained from various tropical plants; used as an astringent and in tanning","East Indian tree yielding a resin or extract often used medicinally and in e.g. tanning"
kins,"a person having kinship with another or others; "he's kin"; "he's family"","group of people related by blood or marriage","related by blood"
kinsfolk,"people descended from a common ancestor; "his family has lived in Massachusetts since the Mayflower""
kinship,"a close connection marked by community of interests or similarity in nature or character; "found a natural affinity with the immigrants"; "felt a deep kinship with the other students"; "anthropology's kinship with the humanities"","(anthropology) relatedness or connection by blood or marriage or adoption"
kinships,"a close connection marked by community of interests or similarity in nature or character; "found a natural affinity with the immigrants"; "felt a deep kinship with the other students"; "anthropology's kinship with the humanities"","(anthropology) relatedness or connection by blood or marriage or adoption"
kinsman,"a male relative"
kinsmen
kinswoman,"a female relative"
kinswomen
kiosk,"small area set off by walls for special use"
kiosks,"small area set off by walls for special use"
kip,"sleep; "roused him from his kip"","the basic unit of money in Laos","a gymnastic exercise performed starting from a position with the legs over the upper body and moving to an erect position by arching the back and swinging the legs out and down while forcing the chest upright","be asleep"
kipped,"be asleep"
kippen
kipper,"salted and smoked herring"
kippered
kippering
kippers,"salted and smoked herring"
kipping,"be asleep"
kips,"sleep; "roused him from his kip"","the basic unit of money in Laos","a gymnastic exercise performed starting from a position with the legs over the upper body and moving to an erect position by arching the back and swinging the legs out and down while forcing the chest upright","be asleep"
kipskin
kipskins
kirigami
kirigamis
kirk,"a Scottish church"
kirkman
kirkmen
kirks,"a Scottish church"
kirmess
kirmesses
kirn
kirned
kirning
kirns
kirsch,"from fermented juice of black morello cherries"
kirsches
kirtle,"a garment resembling a tunic that was worn by men in the Middle Ages","a long dress worn by women"
kirtled
kirtles,"a garment resembling a tunic that was worn by men in the Middle Ages","a long dress worn by women"
kishka
kishkas
kishke,"(Judaism) roasted fowl intestines with a seasoned filling of matzo meal and suet"
kishkes,"(Judaism) roasted fowl intestines with a seasoned filling of matzo meal and suet"
kismat,"(Islam) the will of Allah"
kismats,"(Islam) the will of Allah"
kismet,"(Islam) the will of Allah"
kismetic
kismets,"(Islam) the will of Allah"
kiss,"the act of caressing with the lips (or an instance thereof)","a cookie made of egg whites and sugar","any of several bite-sized candies","a light glancing touch; "there was a brief kiss of their hands in passing"","touch with the lips or press the lips (against someone's mouth or other body part) as an expression of love, greeting, etc.; "The newly married couple kissed"; "She kissed her grandfather on the forehead when she entered the room"","touch lightly or gently; "the blossoms were kissed by the soft rain""
kissable
kissably
kissed
kisser,"someone who kisses","the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
kissers,"someone who kisses","the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
kisses
kissing,"affectionate play (or foreplay without contact with the genital organs)"
kist
kistful
kistfuls
kists
kit,"a case for containing a set of articles","gear consisting of a set of articles or tools for a specified purpose","young of any of various fur-bearing animals; "a fox kit"","supply with a set of articles or tools"
kitchen,"a room equipped for preparing meals"
kitchens,"a room equipped for preparing meals"
kite,"a bank check that has been fraudulently altered to increase its face value","a bank check drawn on insufficient funds at another bank in order to take advantage of the float","plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string","any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals","increase the amount (of a check) fraudulently; "He kited many checks"","get credit or money by using a bad check; "The businessman kited millions of dollars"","soar or fly like a kite; "The pilot kited for a long time over the mountains"","fly a kite; "Kids were kiting in the park"; "They kited the Red Dragon model""
kited
kiter
kiters
kites,"a bank check that has been fraudulently altered to increase its face value","a bank check drawn on insufficient funds at another bank in order to take advantage of the float","plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string","any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals","increase the amount (of a check) fraudulently; "He kited many checks"","get credit or money by using a bad check; "The businessman kited millions of dollars"","soar or fly like a kite; "The pilot kited for a long time over the mountains"","fly a kite; "Kids were kiting in the park"; "They kited the Red Dragon model""
kith,"your friends and acquaintances; "all his kith and kin""
kithara
kitharas
kithe
kithed
kithes
kithing
kiths,"your friends and acquaintances; "all his kith and kin""
kiting
kitling
kitlings
kits,"a case for containing a set of articles","gear consisting of a set of articles or tools for a specified purpose","young of any of various fur-bearing animals; "a fox kit"","supply with a set of articles or tools"
kitsch,"excessively garish or sentimental art; usually considered in bad taste"
kitsches
kitschy,"effusively or insincerely emotional; "a bathetic novel"; "maudlin expressions of sympathy"; "mushy effusiveness"; "a schmaltzy song"; "sentimental soap operas"; "slushy poetry""
kitted
kittel
kitten,"young domestic cat","have kittens; "our cat kittened again this year""
kittened
kittening
kittenish,"playful like a lively kitten"
kittens,"young domestic cat","have kittens; "our cat kittened again this year""
kitties
kitting
kittle
kittled
kittler
kittles
kittlest
kittling
kitty,"the combined stakes of the betters","the cumulative amount involved in a game (such as poker)","young domestic cat","informal terms referring to a domestic cat"
kiva
kivas
kiwi,"climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat","a native or inhabitant of New Zealand","fuzzy brown egg-shaped fruit with slightly tart green flesh","nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes"
kiwis,"climbing vine native to China; cultivated in New Zealand for its fuzzy edible fruit with green meat","a native or inhabitant of New Zealand","fuzzy brown egg-shaped fruit with slightly tart green flesh","nocturnal flightless bird of New Zealand having a long neck and stout legs; only surviving representative of the order Apterygiformes"
