aiblins
aim,"an anticipated outcome that is intended or that guides your planned actions; "his intent was to provide a new translation"; "good intentions are not enough"; "it was created with the conscious aim of answering immediate needs"; "he made no secret of his designs"","the goal intended to be attained (and which is believed to be attainable); "the sole object of her trip was to see her children"","the action of directing something at an object; "he took aim and fired"","the direction or path along which something moves or along which it lies","point or cause to go (blows, weapons, or objects such as photographic equipment) towards; "Please don't aim at your little brother!"; "He trained his gun on the burglar"; "Don't train your camera on the women"; "Take a swipe at one's opponent"","propose or intend; "I aim to arrive at noon"","move into a desired direction of discourse; "What are you driving at?"","specifically design a product, event, or activity for a certain public","intend (something) to move towards a certain goal; "He aimed his fists towards his opponent's face"; "criticism directed at her superior"; "direct your anger towards others, not towards yourself"","direct (a remark) toward an intended goal; "She wanted to aim a pun"","have an ambitious plan or a lofty goal"
aimed
aimer
aimers
aimful
aimfully
aiming
aimless,"aimlessly drifting","continually changing especially as from one abode or occupation to another; "a drifting double-dealer"; "the floating population"; "vagrant hippies of the sixties""
aimlessly,"without aim; in an aimless manner; "he wandered around aimlessly""
aimlessness,"the quality of lacking any definite purpose"
aimlessnesses
aims,"an anticipated outcome that is intended or that guides your planned actions; "his intent was to provide a new translation"; "good intentions are not enough"; "it was created with the conscious aim of answering immediate needs"; "he made no secret of his designs"","the goal intended to be attained (and which is believed to be attainable); "the sole object of her trip was to see her children"","the action of directing something at an object; "he took aim and fired"","the direction or path along which something moves or along which it lies","point or cause to go (blows, weapons, or objects such as photographic equipment) towards; "Please don't aim at your little brother!"; "He trained his gun on the burglar"; "Don't train your camera on the women"; "Take a swipe at one's opponent"","propose or intend; "I aim to arrive at noon"","move into a desired direction of discourse; "What are you driving at?"","specifically design a product, event, or activity for a certain public","intend (something) to move towards a certain goal; "He aimed his fists towards his opponent's face"; "criticism directed at her superior"; "direct your anger towards others, not towards yourself"","direct (a remark) toward an intended goal; "She wanted to aim a pun"","have an ambitious plan or a lofty goal"
ain,"belonging to or on behalf of a specified person (especially yourself); preceded by a possessive; "for your own use"; "do your own thing"; "she makes her own clothes"; "`ain' is Scottish""
aine
ainee
ains,"belonging to or on behalf of a specified person (especially yourself); preceded by a possessive; "for your own use"; "do your own thing"; "she makes her own clothes"; "`ain' is Scottish""
ainsell
ainsells
air,"a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of; "air pollution"; "a smell of chemicals in the air"; "open a window and let in some air"; "I need some fresh air"","the region above the ground; "her hand stopped in mid air"; "he threw the ball into the air"","a distinctive but intangible quality surrounding a person or thing; "an air of mystery"; "the house had a neglected air"; "an atmosphere of defeat pervaded the candidate's headquarters"; "the place had an aura of romance"","a slight wind (usually refreshing); "the breeze was cooled by the lake"; "as he waited he could feel the air on his neck"","the mass of air surrounding the Earth; "there was great heat as the comet entered the atmosphere"; "it was exposed to the air"","once thought to be one of four elements composing the universe (Empedocles)","a succession of notes forming a distinctive sequence; "she was humming an air from Beethoven"","medium for radio and television broadcasting; "the program was on the air from 9 til midnight"; "the president used the airwaves to take his message to the people"","travel via aircraft; "air travel involves too much waiting in airports"; "if you've time to spare go by air"","expose to fresh air; "aerate your old sneakers"","be broadcast; "This show will air Saturdays at 2 P.M."","broadcast over the airwaves, as in radio or television; "We cannot air this X-rated song"","make public; "She aired her opinions on welfare"","expose to warm or heated air, so as to dry; "Air linen"","expose to cool or cold air so as to cool or freshen; "air the old winter clothes"; "air out the smoke-filled rooms""
airboat
airboats
airborne,"moved or conveyed by or through air"
airbound
airbrush,"an atomizer to spray paint by means of compressed air","paint with an airbrush; "The old car looks like new now that we airbrushed it""
airbrushed
airbrushes
airbrushing
airburst,"an explosion in the atmosphere"
airbursts,"an explosion in the atmosphere"
airbus,"a subsonic jet airliner operated over short distances"
airbuses
airbusses
aircoach
aircoaches
aircondition
airconditioned
airconditioning
airconditions
aircraft,"a vehicle that can fly"
aircrew,"the crew of an aircraft"
aircrews,"the crew of an aircraft"
airdrome,"an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo"
airdromes,"an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo"
airdrop,"delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft; "until then, front line troops will be supplied by airdrop""
airdropped
airdropping
airdrops,"delivery of supplies or equipment or personnel by dropping them by parachute from an aircraft; "until then, front line troops will be supplied by airdrop""
aired,"open to or abounding in fresh air; "airy rooms""
airer
airest
airfield,"a place where planes take off and land"
airfields,"a place where planes take off and land"
airflow,"the flow of air; "she adjusted the fan so that the airflow was directed right at her""
airflows,"the flow of air; "she adjusted the fan so that the airflow was directed right at her""
airfoil,"a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight"
airfoils,"a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight"
airframe,"the framework and covering of an airplane or rocket (excluding the engines)"
airframes,"the framework and covering of an airplane or rocket (excluding the engines)"
airglow
airglows
airhead,"a flighty scatterbrained simpleton; "she's a total airhead"; "every airhead on a big salary rushed out to buy one"","a bridgehead seized by airborne troops"
airheads,"a flighty scatterbrained simpleton; "she's a total airhead"; "every airhead on a big salary rushed out to buy one"","a bridgehead seized by airborne troops"
airier,"open to or abounding in fresh air; "airy rooms"","not practical or realizable; speculative; "airy theories about socioeconomic improvement"; "visionary schemes for getting rich"","having little or no perceptible weight; so light as to resemble air; "airy gauze curtains"","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
airiest,"open to or abounding in fresh air; "airy rooms"","not practical or realizable; speculative; "airy theories about socioeconomic improvement"; "visionary schemes for getting rich"","having little or no perceptible weight; so light as to resemble air; "airy gauze curtains"","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
airily,"in a flippant manner; "he answered the reporters' questions flippantly"; "this cannot be airily explained to your children""
airiness,"the property of something spacious and abounding in fresh air","the property of something weightless and insubstantial","lightness in movement or manner"
airinesses
airing,"the opening of a subject to widespread discussion and debate","a short excursion (a walk or ride) in the open air; "he took the dogs for an airing"","the act of supplying fresh air and getting rid of foul air"
airings,"the opening of a subject to widespread discussion and debate","a short excursion (a walk or ride) in the open air; "he took the dogs for an airing"","the act of supplying fresh air and getting rid of foul air"
airless,"lacking fresh air; "a dusty airless attic"; "the dreadfully close atmosphere"; "hot and stuffy and the air was blue with smoke""
airlift,"transportation of people or goods by air (especially when other means of access are unavailable)","fly people or goods to or from places not accessible by other means; "Food is airlifted into Bosnia""
airlifted
airlifting
airlifts,"transportation of people or goods by air (especially when other means of access are unavailable)","fly people or goods to or from places not accessible by other means; "Food is airlifted into Bosnia""
airlike,"resembling air or having the form of air"
airline,"a hose that carries air under pressure","a commercial enterprise that provides scheduled flights for passengers"
airliner,"a commercial airplane that carries passengers"
airliners,"a commercial airplane that carries passengers"
airlines,"a hose that carries air under pressure","a commercial enterprise that provides scheduled flights for passengers"
airmail,"letters and packages that are transported by aircraft","a system of conveying mail by aircraft","send or transport by airmail; "Letters to Europe from the U.S. are best airmailed""
airmailed
airmailing
airmails,"letters and packages that are transported by aircraft","a system of conveying mail by aircraft","send or transport by airmail; "Letters to Europe from the U.S. are best airmailed""
airman,"someone who operates an aircraft"
airmen
airn
airns
airpark
airparks
airplane,"an aircraft that has a fixed wing and is powered by propellers or jets; "the flight was delayed due to trouble with the airplane""
airplanes,"an aircraft that has a fixed wing and is powered by propellers or jets; "the flight was delayed due to trouble with the airplane""
airport,"an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo"
airports,"an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo"
airpost,"a system of conveying mail by aircraft"
airposts,"a system of conveying mail by aircraft"
airproof
airproofed
airproofing
airproofs
airs,"affected manners intended to impress others; "don't put on airs with me"","expose to fresh air; "aerate your old sneakers"","be broadcast; "This show will air Saturdays at 2 P.M."","broadcast over the airwaves, as in radio or television; "We cannot air this X-rated song"","make public; "She aired her opinions on welfare"","expose to warm or heated air, so as to dry; "Air linen"","expose to cool or cold air so as to cool or freshen; "air the old winter clothes"; "air out the smoke-filled rooms""
airscrew,"a propeller that rotates to push against air"
airscrews,"a propeller that rotates to push against air"
airship,"a steerable self-propelled aircraft"
airships,"a steerable self-propelled aircraft"
airsick,"experiencing motion sickness"
airspace,"the space in the atmosphere immediately above the earth","the atmosphere above a nation that is deemed to be under its jurisdiction; "the plane was refused permission to enter Chinese airspace""
airspaces,"the space in the atmosphere immediately above the earth","the atmosphere above a nation that is deemed to be under its jurisdiction; "the plane was refused permission to enter Chinese airspace""
airspeed,"the speed of an aircraft relative to the air in which it is flying"
airspeeds,"the speed of an aircraft relative to the air in which it is flying"
airstrip,"an airfield without normal airport facilities"
airstrips,"an airfield without normal airport facilities"
airt,"channel into a new direction; "redirect your attention to the danger from the fundamentalists""
airted
airth
airthed
airthing
airths
airtight,"having no weak points; "an airtight defense"; "an airtight argument"","not allowing air or gas to pass in or out"
airting
airts,"channel into a new direction; "redirect your attention to the danger from the fundamentalists""
airward
airwave,"medium for radio and television broadcasting; "the program was on the air from 9 til midnight"; "the president used the airwaves to take his message to the people""
airwaves,"medium for radio and television broadcasting; "the program was on the air from 9 til midnight"; "the president used the airwaves to take his message to the people""
airway,"a duct that provides ventilation (as in mines)","a designated route followed by airplanes in flying from one airport to another","the passages through which air enters and leaves the body","a commercial enterprise that provides scheduled flights for passengers"
airways,"a duct that provides ventilation (as in mines)","a designated route followed by airplanes in flying from one airport to another","the passages through which air enters and leaves the body","a commercial enterprise that provides scheduled flights for passengers"
airwise
airwoman,"a woman aviator"
airwomen
airy,"open to or abounding in fresh air; "airy rooms"","not practical or realizable; speculative; "airy theories about socioeconomic improvement"; "visionary schemes for getting rich"","having little or no perceptible weight; so light as to resemble air; "airy gauze curtains"","characterized by lightness and insubstantiality; as impalpable or intangible as air; "figures light and aeriform come unlooked for and melt away"- Thomas Carlyle; "aerial fancies"; "an airy apparition"; "physical rather than ethereal forms""
ais,"an agency of the United States Army responsible for providing timely and relevant and accurate and synchronized intelligence to tactical and operational and strategic level commanders","the branch of computer science that deal with writing computer programs that can solve problems creatively; "workers in AI hope to imitate or duplicate intelligence in computers and robots"","a sloth that has three long claws on each forefoot and each hindfoot","the introduction of semen into the oviduct or uterus by some means other than sexual intercourse"
aisle,"a long narrow passage (as in a cave or woods)","passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores","part of a church divided laterally from the nave proper by rows of pillars or columns"
aisled
aisles,"a long narrow passage (as in a cave or woods)","passageway between seating areas as in an auditorium or passenger vehicle or between areas of shelves of goods as in stores","part of a church divided laterally from the nave proper by rows of pillars or columns"
ait
aitch
aitches
aits
aiver
aivers
