yod
youngs,"any immature animal","United States film and television actress (1913-2000)","United States civil rights leader (1921-1971)","British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)","United States jazz tenor saxophonist (1909-1959)","English poet (1683-1765)","United States baseball player and famous pitcher (1867-1955)","United States religious leader of the Mormon Church after the assassination of Joseph Smith; he led the Mormon exodus from Illinois to Salt Lake City, Utah (1801-1877)","young people collectively; "rock music appeals to the young"; "youth everywhere rises in revolt"","(used of living things especially persons) in an early period of life or development or growth; "young people"","(of crops) harvested at an early stage of development; before complete maturity; "new potatoes"; "young corn"","suggestive of youth; vigorous and fresh; "he is young for his age"","being in its early stage; "a young industry"; "the day is still young"","not tried or tested by experience; "unseasoned artillery volunteers"; "still untested in battle"; "an illustrator untried in mural painting"; "a young hand at plowing""
youngster,"a young person of either sex; "she writes books for children"; "they're just kids"; "`tiddler' is a British term for youngster""
youngsters,"a young person of either sex; "she writes books for children"; "they're just kids"; "`tiddler' is a British term for youngster""
younker,"a young person (especially a young man or boy)"
younkers,"a young person (especially a young man or boy)"
youpon
youpons
your
yourn
yours
yourself
yourselves
youse
youth,"a young person (especially a young man or boy)","young people collectively; "rock music appeals to the young"; "youth everywhere rises in revolt"","the time of life between childhood and maturity","early maturity; the state of being young or immature or inexperienced","an early period of development; "during the youth of the project"","the freshness and vitality characteristic of a young person"
youthen
youthened
youthening
youthens
youthful,"suggestive of youth; vigorous and fresh; "he is young for his age""
youthfully,"in a youthful manner; "he is still youthfully enthusiastic""
youthfulness,"the freshness and vitality characteristic of a young person"
youthfulnesses
youths,"a young person (especially a young man or boy)","young people collectively; "rock music appeals to the young"; "youth everywhere rises in revolt"","the time of life between childhood and maturity","early maturity; the state of being young or immature or inexperienced","an early period of development; "during the youth of the project"","the freshness and vitality characteristic of a young person"
yow
yowe
yowed
yowes
yowie
yowies
yowing
yowl,"a very loud utterance (like the sound of an animal); "his bellow filled the hallway"","cry loudly, as of animals; "The coyotes were howling in the desert"","utter shrieks, as of cats"
yowled
yowler
yowlers
yowling
yowls,"a very loud utterance (like the sound of an animal); "his bellow filled the hallway"","cry loudly, as of animals; "The coyotes were howling in the desert"","utter shrieks, as of cats"
yows
