upas
upholsterer,"a craftsman who upholsters furniture"
upholsterers,"a craftsman who upholsters furniture"
upholsteries
upholstering
upholsters,"provide furniture with padding, springs, webbing, and covers"
upholstery,"covering (padding and springs and webbing and fabric) on a piece of furniture","the craft of upholstering"
uphove,"lift forcefully from beneath"
uphroe
uphroes
upkeep,"activity involved in maintaining something in good working order; "he wrote the manual on car care"","the act of sustaining life by food or providing a means of subsistence; "they were in want of sustenance"; "fishing was their main sustainment""
upkeeps,"activity involved in maintaining something in good working order; "he wrote the manual on car care"","the act of sustaining life by food or providing a means of subsistence; "they were in want of sustenance"; "fishing was their main sustainment""
upland,"elevated (e.g., mountainous) land","used of high or hilly country"
uplander
uplanders
uplands,"elevated (e.g., mountainous) land","used of high or hilly country"
upleap
upleaped
upleaping
upleaps
upleapt
uplift,"(geology) a rise of land to a higher elevation (as in the process of mountain building)","a brassiere that lifts and supports the breasts","fill with high spirits; fill with optimism; "Music can uplift your spirits"","lift up from the earth, as by geologic forces; "the earth's movement uplifted this part of town"","lift up or elevate"
uplifted,"exalted emotionally especially with pride"
uplifter
uplifters
uplifting,"the rise of something; "the uplifting of the clouds revealed the blue of a summer sky""
uplifts,"(geology) a rise of land to a higher elevation (as in the process of mountain building)","a brassiere that lifts and supports the breasts","fill with high spirits; fill with optimism; "Music can uplift your spirits"","lift up from the earth, as by geologic forces; "the earth's movement uplifted this part of town"","lift up or elevate"
uplight
uplighted
uplighting
uplights
uplit
upmost,"at or nearest to the top; "the uppermost book in the pile"; "on the topmost step""
upo
upon
upped,"raise; "up the ante""
upper,"the higher of two berths","piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot; "Uppers come in many styles"","a central nervous system stimulant that increases energy and decreases appetite; used to treat narcolepsy and some forms of depression","the topmost one of two","higher in place or position; "the upper bunk"; "in the upper center of the picture"; "the upper stories"","superior in rank or accomplishment; "the upper half of the class""
uppercase,"one of the large alphabetic characters used as the first letter in writing or printing proper names and sometimes for emphasis; "printers once kept the type for capitals and for small letters in separate cases; capitals were kept in the upper half of the type case and so became known as upper-case letters"","relating to capital letters which were kept in the top half of a compositor's type case; "uppercase letters; X and Y and Z etc""
uppercut,"a swinging blow directed upward (especially at an opponent's chin)"
uppercuts,"a swinging blow directed upward (especially at an opponent's chin)"
uppercutting
uppermost,"at or nearest to the top; "the uppermost book in the pile"; "on the topmost step"","in or into the most prominent position, as in the mind; "say what comes uppermost"","in or into the highest position; "the blade turned uppermost""
uppers,"the higher of two berths","piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot; "Uppers come in many styles"","a central nervous system stimulant that increases energy and decreases appetite; used to treat narcolepsy and some forms of depression","the topmost one of two","higher in place or position; "the upper bunk"; "in the upper center of the picture"; "the upper stories"","superior in rank or accomplishment; "the upper half of the class""
uppile
uppiled
uppiles
uppiling
upping,"raise; "up the ante""
uppings,"raise; "up the ante""
uppish,"(used colloquially) overly conceited or arrogant; "a snotty little scion of a degenerate family"-Laurent Le Sage; "they're snobs--stuck-up and uppity and persnickety""
uppishly,"in a snobbish manner; "they snobbishly excluded their less wealthy friends from the party""
uppity,"presumptuously arrogant; "had a witty but overweening manner"; "no idea how overweening he would be"- S.V.Benet; "getting a little uppity and needed to be slapped down"- NY Times"
upprop
uppropped
uppropping
upprops
upraise,"cause to become alive again; "raise from the dead"; "Slavery is already dead, and cannot be resurrected"; "Upraising ghosts""
upraised,"held up in the air; "stood with arms upraised"; "her upraised flag""
upraiser
upraisers
upraises,"cause to become alive again; "raise from the dead"; "Slavery is already dead, and cannot be resurrected"; "Upraising ghosts""
upraising
upreach
upreached
upreaches
upreaching
uprear
upreared
uprearing
uprears
upright,"a vertical structural member as a post or stake; "the ball sailed between the uprights"","a piano with a vertical sounding board","in a vertical position; not sloping; "an upright post"","of moral excellence; "a genuinely good person"; "a just cause"; "an upright and respectable man"","upright in position or posture; "an erect stature"; "erect flower stalks"; "for a dog, an erect tail indicates aggression"; "a column still vertical amid the ruins"; "he sat bolt upright""
uprighted
uprighting
uprightness,"the property of being upright in posture","position at right angles to the horizon","righteousness as a consequence of being honorable and honest"
uprightnesses
uprights,"a vertical structural member as a post or stake; "the ball sailed between the uprights"","a piano with a vertical sounding board","in a vertical position; not sloping; "an upright post"","of moral excellence; "a genuinely good person"; "a just cause"; "an upright and respectable man"","upright in position or posture; "an erect stature"; "erect flower stalks"; "for a dog, an erect tail indicates aggression"; "a column still vertical amid the ruins"; "he sat bolt upright""
uprise,"come into existence; take on form or shape; "A new religious movement originated in that country"; "a love that sprang up from friendship"; "the idea for the book grew out of a short story"; "An interesting phenomenon uprose"","ascend as a sound; "The choirs singing uprose and filled the church"","rise up as in fear; "The dog's fur bristled"; "It was a sight to make one's hair uprise!"","rise to one's feet; "The audience got up and applauded"","come up, of celestial bodies; "The sun also rises"; "The sun uprising sees the dusk night fled..."; "Jupiter ascends"","move upward; "The fog lifted"; "The smoke arose from the forest fire"; "The mist uprose from the meadows"","return from the dead; "Christ is risen!"; "The dead are to uprise"","get up and out of bed; "I get up at 7 A.M. every day"; "They rose early"; "He uprose at night""
uprisen,"come into existence; take on form or shape; "A new religious movement originated in that country"; "a love that sprang up from friendship"; "the idea for the book grew out of a short story"; "An interesting phenomenon uprose"","ascend as a sound; "The choirs singing uprose and filled the church"","rise up as in fear; "The dog's fur bristled"; "It was a sight to make one's hair uprise!"","rise to one's feet; "The audience got up and applauded"","come up, of celestial bodies; "The sun also rises"; "The sun uprising sees the dusk night fled..."; "Jupiter ascends"","move upward; "The fog lifted"; "The smoke arose from the forest fire"; "The mist uprose from the meadows"","return from the dead; "Christ is risen!"; "The dead are to uprise"","get up and out of bed; "I get up at 7 A.M. every day"; "They rose early"; "He uprose at night""
upriser
uprisers
uprises,"come into existence; take on form or shape; "A new religious movement originated in that country"; "a love that sprang up from friendship"; "the idea for the book grew out of a short story"; "An interesting phenomenon uprose"","ascend as a sound; "The choirs singing uprose and filled the church"","rise up as in fear; "The dog's fur bristled"; "It was a sight to make one's hair uprise!"","rise to one's feet; "The audience got up and applauded"","come up, of celestial bodies; "The sun also rises"; "The sun uprising sees the dusk night fled..."; "Jupiter ascends"","move upward; "The fog lifted"; "The smoke arose from the forest fire"; "The mist uprose from the meadows"","return from the dead; "Christ is risen!"; "The dead are to uprise"","get up and out of bed; "I get up at 7 A.M. every day"; "They rose early"; "He uprose at night""
uprising,"organized opposition to authority; a conflict in which one faction tries to wrest control from another"
uprisings,"organized opposition to authority; a conflict in which one faction tries to wrest control from another"
upriver,"toward the source or against the current"
uprivers,"toward the source or against the current"
uproar,"a state of commotion and noise and confusion","loud confused noise from many sources"
uproarious,"uncontrollably noisy","marked by or causing boisterous merriment or convulsive laughter; "hilarious broad comedy"; "a screaming farce"; "uproarious stories""
uproariously,"in a hilarious manner; "hilariously funny""
uproars,"a state of commotion and noise and confusion","loud confused noise from many sources"
uproot,"move (people) forcibly from their homeland into a new and foreign environment; "The war uprooted many people"","destroy completely, as if down to the roots; "the vestiges of political democracy were soon uprooted" "root out corruption"","pull up by or as if by the roots; "uproot the vine that has spread all over the garden""
uprootal
uprootals
uprooted
uprooter,"a person who destroys or ruins or lays waste to; "a destroyer of the environment"; "jealousy was his undoer"; "uprooters of gravestones""
uprooters,"a person who destroys or ruins or lays waste to; "a destroyer of the environment"; "jealousy was his undoer"; "uprooters of gravestones""
uprooting
uproots,"move (people) forcibly from their homeland into a new and foreign environment; "The war uprooted many people"","destroy completely, as if down to the roots; "the vestiges of political democracy were soon uprooted" "root out corruption"","pull up by or as if by the roots; "uproot the vine that has spread all over the garden""
uprose,"come into existence; take on form or shape; "A new religious movement originated in that country"; "a love that sprang up from friendship"; "the idea for the book grew out of a short story"; "An interesting phenomenon uprose"","ascend as a sound; "The choirs singing uprose and filled the church"","rise up as in fear; "The dog's fur bristled"; "It was a sight to make one's hair uprise!"","rise to one's feet; "The audience got up and applauded"","come up, of celestial bodies; "The sun also rises"; "The sun uprising sees the dusk night fled..."; "Jupiter ascends"","move upward; "The fog lifted"; "The smoke arose from the forest fire"; "The mist uprose from the meadows"","return from the dead; "Christ is risen!"; "The dead are to uprise"","get up and out of bed; "I get up at 7 A.M. every day"; "They rose early"; "He uprose at night""
uprouse
uproused
uprouses
uprousing
uprush
uprushed
uprushes
uprushing
ups,"raise; "up the ante"","being or moving higher in position or greater in some value; being above a former position or level; "the anchor is up"; "the sun is up"; "he lay face up"; "he is up by a pawn"; "the market is up"; "the corn is up"","out of bed; "are they astir yet?"; "up by seven each morning"","getting higher or more vigorous; "its an up market"; "an improving economy"","extending or moving toward a higher place; "the up staircase"; "a general upward movement of fish"","(usually followed by `on' or `for') in readiness; "he was up on his homework"; "had to be up for the game"","open; "the windows are up"","(used of computers) operating properly; "how soon will the computers be up?"","used up; "time is up"","spatially or metaphorically from a lower to a higher position; "look up!"; "the music surged up"; "the fragments flew upwards"; "prices soared upwards"; "upwardly mobile"","to a higher intensity; "he turned up the volume"","nearer to the speaker; "he walked up and grabbed my lapels"","to a more central or a more northerly place; "was transferred up to headquarters"; "up to Canada for a vacation"","to a later time; "they moved the meeting date up"; "from childhood upward""
upsend
upsending
upsends
upsent
upset,"an unhappy and worried mental state; "there was too much anger and disturbance"; "she didn't realize the upset she caused me"","the act of disturbing the mind or body; "his carelessness could have caused an ecological upset"; "she was unprepared for this sudden overthrow of their normal way of living"","a physical condition in which there is a disturbance of normal functioning; "the doctor prescribed some medicine for the disorder"; "everyone gets stomach upsets from time to time"","a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging","the act of upsetting something; "he was badly bruised by the upset of his sled at a high speed"","an improbable and unexpected victory; "the biggest upset since David beat Goliath"","disturb the balance or stability of; "The hostile talks upset the peaceful relations between the two countries"","cause to lose one's composure","move deeply; "This book upset me"; "A troubling thought"","cause to overturn from an upright or normal position; "The cat knocked over the flower vase"; "the clumsy customer turned over the vase"; "he tumped over his beer"","form metals with a swage","defeat suddenly and unexpectedly; "The foreign team upset the local team"","afflicted with or marked by anxious uneasiness or trouble or grief; "too upset to say anything"; "spent many disquieted moments"; "distressed about her son's leaving home"; "lapsed into disturbed sleep"; "worried parents"; "a worried frown"; "one last worried check of the sleeping children"","thrown into a state of disarray or confusion; "troops fleeing in broken ranks"; "a confused mass of papers on the desk"; "the small disordered room"; "with everything so upset"","used of an unexpected defeat of a team favored to win; "the Bills' upset victory over the Houston Oilers"","mildly physically distressed; "an upset stomach"","having been turned so that the bottom is no longer the bottom; "an overturned car"; "the upset pitcher of milk"; "sat on an upturned bucket""
upsets,"an unhappy and worried mental state; "there was too much anger and disturbance"; "she didn't realize the upset she caused me"","the act of disturbing the mind or body; "his carelessness could have caused an ecological upset"; "she was unprepared for this sudden overthrow of their normal way of living"","a physical condition in which there is a disturbance of normal functioning; "the doctor prescribed some medicine for the disorder"; "everyone gets stomach upsets from time to time"","a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging","the act of upsetting something; "he was badly bruised by the upset of his sled at a high speed"","an improbable and unexpected victory; "the biggest upset since David beat Goliath"","disturb the balance or stability of; "The hostile talks upset the peaceful relations between the two countries"","cause to lose one's composure","move deeply; "This book upset me"; "A troubling thought"","cause to overturn from an upright or normal position; "The cat knocked over the flower vase"; "the clumsy customer turned over the vase"; "he tumped over his beer"","form metals with a swage","defeat suddenly and unexpectedly; "The foreign team upset the local team"","afflicted with or marked by anxious uneasiness or trouble or grief; "too upset to say anything"; "spent many disquieted moments"; "distressed about her son's leaving home"; "lapsed into disturbed sleep"; "worried parents"; "a worried frown"; "one last worried check of the sleeping children"","thrown into a state of disarray or confusion; "troops fleeing in broken ranks"; "a confused mass of papers on the desk"; "the small disordered room"; "with everything so upset"","used of an unexpected defeat of a team favored to win; "the Bills' upset victory over the Houston Oilers"","mildly physically distressed; "an upset stomach"","having been turned so that the bottom is no longer the bottom; "an overturned car"; "the upset pitcher of milk"; "sat on an upturned bucket""
upsetter,"an unexpected winner; someone who defeats the favorite competitor"
upsetters,"an unexpected winner; someone who defeats the favorite competitor"
upsetting,"disturb the balance or stability of; "The hostile talks upset the peaceful relations between the two countries"","cause to lose one's composure","move deeply; "This book upset me"; "A troubling thought"","cause to overturn from an upright or normal position; "The cat knocked over the flower vase"; "the clumsy customer turned over the vase"; "he tumped over his beer"","form metals with a swage","defeat suddenly and unexpectedly; "The foreign team upset the local team"","causing an emotional disturbance; "his disconcerting habit of greeting friends ferociously and strangers charmingly"- Herb Caen; "an upsetting experience""
upshift
upshifted
upshifting
upshifts
upshoot
upshooting
upshoots
upshot,"a phenomenon that follows and is caused by some previous phenomenon; "the magnetic effect was greater when the rod was lengthwise"; "his decision had depressing consequences for business"; "he acted very wise after the event""
upshots,"a phenomenon that follows and is caused by some previous phenomenon; "the magnetic effect was greater when the rod was lengthwise"; "his decision had depressing consequences for business"; "he acted very wise after the event""
upside,"the highest or uppermost side of anything; "put your books on top of the desk"; "only the top side of the box was painted""
upsidedown
upsides,"the highest or uppermost side of anything; "put your books on top of the desk"; "only the top side of the box was painted""
upsilon,"the 20th letter of the Greek alphabet"
upsilons,"the 20th letter of the Greek alphabet"
upsoar
upsoared
upsoaring
upsoars
upsprang
upspring
upspringing
upsprings
upsprung
upstage,"the rear part of the stage","treat snobbishly, put in one's place","move upstage, forcing the other actors to turn away from the audience","steal the show, draw attention to oneself away from someone else; "When the dog entered the stage, he upstaged the actress"","of the back half of a stage; "she crossed to the upstage chair forcing the lead to turn his back to the audience"","remote in manner; "stood apart with aloof dignity"; "a distant smile"; "he was upstage with strangers"","at or toward the rear of the stage; "the dancers were directed to move upstage""
upstaged
upstages,"the rear part of the stage","treat snobbishly, put in one's place","move upstage, forcing the other actors to turn away from the audience","steal the show, draw attention to oneself away from someone else; "When the dog entered the stage, he upstaged the actress"","of the back half of a stage; "she crossed to the upstage chair forcing the lead to turn his back to the audience"","remote in manner; "stood apart with aloof dignity"; "a distant smile"; "he was upstage with strangers"","at or toward the rear of the stage; "the dancers were directed to move upstage""
upstaging
upstair,"on or of upper floors of a building; "the upstairs maid"; "an upstairs room""
upstairs,"the part of a building above the ground floor; "no one was allowed to see the upstairs"","on or of upper floors of a building; "the upstairs maid"; "an upstairs room"","on a floor above; "they lived upstairs"","with respect to the mind; "she's a bit weak upstairs""
upstand
upstanding,"meriting respect or esteem; "an upstanding member of the community""
upstands
upstare
upstared
upstares
upstaring
upstart,"an arrogant or presumptuous person","a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class","a gymnastic exercise performed starting from a position with the legs over the upper body and moving to an erect position by arching the back and swinging the legs out and down while forcing the chest upright","characteristic of someone who has risen economically or socially but lacks the social skills appropriate for this new position"
upstarted
upstarting
upstarts,"an arrogant or presumptuous person","a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class","a gymnastic exercise performed starting from a position with the legs over the upper body and moving to an erect position by arching the back and swinging the legs out and down while forcing the chest upright","characteristic of someone who has risen economically or socially but lacks the social skills appropriate for this new position"
upstate,"in or toward the northern parts of a state; "he lives upstate New York""
upstater
upstaters
upstates,"in or toward the northern parts of a state; "he lives upstate New York""
upstep
upstepped
upstepping
upsteps
upstir
upstirred
upstirring
upstirs
upstood
upstream,"in the direction against a stream's current","toward the source or against the current"
upstroke,"a stroke normally made in an upward direction"
upstrokes,"a stroke normally made in an upward direction"
upsurge,"a sudden forceful flow","a sudden or abrupt strong increase; "stimulated a surge of speculation"; "an upsurge of emotion"; "an upsurge in violent crime""
upsurged
upsurges,"a sudden forceful flow","a sudden or abrupt strong increase; "stimulated a surge of speculation"; "an upsurge of emotion"; "an upsurge in violent crime""
upsurging
upsweep
upsweeping
upsweeps
upswell
upswelled
upswelling
upswells
upswept
upswing
upswinging
upswings
upswollen
upswung
uptake,"the process of taking food into the body through the mouth (as by eating)","a process of taking up or using up or consuming; "they developed paper napkins with a greater uptake of liquids""
uptakes,"the process of taking food into the body through the mouth (as by eating)","a process of taking up or using up or consuming; "they developed paper napkins with a greater uptake of liquids""
uptear
uptearing
uptears
upthrew
upthrow,"(geology) a rise of land to a higher elevation (as in the process of mountain building)"
upthrowing
upthrown
upthrows,"(geology) a rise of land to a higher elevation (as in the process of mountain building)"
upthrust,"(geology) a rise of land to a higher elevation (as in the process of mountain building)"
upthrusting
upthrusts,"(geology) a rise of land to a higher elevation (as in the process of mountain building)"
uptight,"being in a tense state"
uptilt
uptilted
uptilting
uptilts
uptime,"a period of time when something (as a machine or factory) is functioning and available for use"
uptimes,"a period of time when something (as a machine or factory) is functioning and available for use"
uptore
uptorn
uptoss
uptossed
uptosses
uptossing
uptown,"a residential part of town away from the central commercial district","of or located in the upper part of a town; "uptown residential areas"","toward or in the upper part of town"
uptowner
uptowners
uptowns,"a residential part of town away from the central commercial district","of or located in the upper part of a town; "uptown residential areas"","toward or in the upper part of town"
uptrend
uptrends
upturn,"an upward movement or trend as in business activity"
upturned,"having been turned so that the bottom is no longer the bottom; "an overturned car"; "the upset pitcher of milk"; "sat on an upturned bucket"","(used of noses) turned up at the end; "a retrousse nose"; "a small upturned nose""
upturning
upturns,"an upward movement or trend as in business activity"
upwaft
upwafted
upwafting
upwafts
upward,"directed up; "the cards were face upward"; "an upward stroke of the pen"","extending or moving toward a higher place; "the up staircase"; "a general upward movement of fish"","spatially or metaphorically from a lower to a higher position; "look up!"; "the music surged up"; "the fragments flew upwards"; "prices soared upwards"; "upwardly mobile"","to a later time; "they moved the meeting date up"; "from childhood upward""
upwardly,"spatially or metaphorically from a lower to a higher position; "look up!"; "the music surged up"; "the fragments flew upwards"; "prices soared upwards"; "upwardly mobile""
upwards,"directed up; "the cards were face upward"; "an upward stroke of the pen"","extending or moving toward a higher place; "the up staircase"; "a general upward movement of fish"","spatially or metaphorically from a lower to a higher position; "look up!"; "the music surged up"; "the fragments flew upwards"; "prices soared upwards"; "upwardly mobile"","to a later time; "they moved the meeting date up"; "from childhood upward""
upwell
upwelled
upwelling
upwells
upwind,"towards the side exposed to wind","toward the wind; "they were sailing leeward"","in the direction opposite to the direction the wind is blowing; "they flew upwind""
upwinds,"towards the side exposed to wind","toward the wind; "they were sailing leeward"","in the direction opposite to the direction the wind is blowing; "they flew upwind""
